game_id,season,game_type,week,gameday,home_team,away_team,home_score,away_score,roof,surface,div_game,spread_line,total_line,temp,wind,result
2019_05_CHI_OAK,2019,REG,5,2019-10-06,OAK,CHI,24,21,outdoors,grass,0,-6.5,39.5,59.0,15.0,3
2019_05_DEN_LAC,2019,REG,5,2019-10-06,LAC,DEN,13,20,outdoors,grass,1,4.0,46.0,85.0,12.0,-7
2019_05_LA_SEA,2019,REG,5,2019-10-03,SEA,LA,30,29,outdoors,fieldturf,1,1.5,49.0,57.0,7.0,1
2019_05_MIN_NYG,2019,REG,5,2019-10-06,NYG,MIN,10,28,outdoors,fieldturf,0,-5.5,44.0,66.0,10.0,-18
2019_05_TB_NO,2019,REG,5,2019-10-06,NO,TB,31,24,dome,astroturf,1,3.0,46.0,,,7
2019_06_ATL_ARI,2019,REG,6,2019-10-13,ARI,ATL,34,33,closed,grass,0,-3.0,52.5,,,1
2019_06_CIN_BAL,2019,REG,6,2019-10-13,BAL,CIN,23,17,outdoors,grass,1,10.5,47.0,64.0,7.0,6
2019_06_DET_GB,2019,REG,6,2019-10-14,GB,DET,23,22,outdoors,grass,1,3.5,47.0,43.0,5.0,1
2019_06_NO_JAX,2019,REG,6,2019-10-13,JAX,NO,6,13,outdoors,grass,0,2.5,42.5,81.0,3.0,-7
2019_06_PHI_MIN,2019,REG,6,2019-10-13,MIN,PHI,38,20,dome,sportturf,0,3.5,44.0,,,18
2019_06_PIT_LAC,2019,REG,6,2019-10-13,LAC,PIT,17,24,outdoors,grass,0,6.0,42.5,71.0,9.0,-7
2019_06_SF_LA,2019,REG,6,2019-10-13,LA,SF,7,20,outdoors,grass,1,3.0,49.5,77.0,2.0,-13
2019_06_TEN_DEN,2019,REG,6,2019-10-13,DEN,TEN,16,0,outdoors,grass,0,1.0,41.0,69.0,7.0,16
2019_07_ARI_NYG,2019,REG,7,2019-10-20,NYG,ARI,21,27,outdoors,fieldturf,0,3.5,49.5,56.0,3.0,-6
2019_07_BAL_SEA,2019,REG,7,2019-10-20,SEA,BAL,16,30,outdoors,fieldturf,0,3.0,49.0,50.0,8.0,-14
2019_07_LAC_TEN,2019,REG,7,2019-10-20,TEN,LAC,23,20,outdoors,grass,0,3.0,42.5,77.0,2.0,3
2019_07_LA_ATL,2019,REG,7,2019-10-20,ATL,LA,10,37,open,fieldturf,0,-3.0,54.5,,,-27
2019_07_MIN_DET,2019,REG,7,2019-10-20,DET,MIN,30,42,dome,fieldturf,1,-2.5,43.5,,,-12
2019_07_NO_CHI,2019,REG,7,2019-10-20,CHI,NO,25,36,outdoors,grass,0,4.0,37.0,54.0,6.0,-11
2019_07_OAK_GB,2019,REG,7,2019-10-20,GB,OAK,42,24,outdoors,grass,0,5.5,48.0,55.0,6.0,18
2019_08_ARI_NO,2019,REG,8,2019-10-27,NO,ARI,31,9,dome,astroturf,0,12.5,47.5,,,22
2019_08_CIN_LA,2019,REG,8,2019-10-27,LA,CIN,24,10,outdoors,grass,0,12.0,48.5,48.0,5.0,14
2019_08_LAC_CHI,2019,REG,8,2019-10-27,CHI,LAC,16,17,outdoors,grass,0,3.5,41.0,52.0,9.0,-1
2019_08_MIA_PIT,2019,REG,8,2019-10-28,PIT,MIA,27,14,outdoors,grass,0,14.0,44.0,59.0,2.0,13
2019_08_NYG_DET,2019,REG,8,2019-10-27,DET,NYG,31,26,dome,fieldturf,0,6.5,49.0,,,5
2019_08_OAK_HOU,2019,REG,8,2019-10-27,HOU,OAK,27,24,closed,grass,0,5.0,52.0,,,3
2019_08_SEA_ATL,2019,REG,8,2019-10-27,ATL,SEA,20,27,open,fieldturf,0,-7.5,48.5,,,-7
2019_08_TB_TEN,2019,REG,8,2019-10-27,TEN,TB,27,23,outdoors,grass,0,2.0,45.5,59.0,3.0,4
2019_08_WAS_MIN,2019,REG,8,2019-10-24,MIN,WAS,19,9,dome,sportturf,0,16.5,42.0,,,10
2019_09_DET_OAK,2019,REG,9,2019-11-03,OAK,DET,31,24,outdoors,grass,0,2.5,51.5,71.0,6.0,7
2019_09_GB_LAC,2019,REG,9,2019-11-03,LAC,GB,26,11,outdoors,grass,0,-4.0,50.0,79.0,2.0,15
2019_09_IND_PIT,2019,REG,9,2019-11-03,PIT,IND,26,24,outdoors,grass,0,1.0,39.5,48.0,12.0,2
2019_09_MIN_KC,2019,REG,9,2019-11-03,KC,MIN,26,23,outdoors,astroturf,0,-5.5,46.0,54.0,15.0,3
2019_09_NE_BAL,2019,REG,9,2019-11-03,BAL,NE,37,20,outdoors,grass,0,-3.0,44.5,48.0,1.0,17
2019_09_SF_ARI,2019,REG,9,2019-10-31,ARI,SF,25,28,closed,grass,1,-10.5,43.5,,,-3
2019_09_TEN_CAR,2019,REG,9,2019-11-03,CAR,TEN,30,20,outdoors,grass,0,3.5,43.0,58.0,5.0,10
2019_10_ARI_TB,2019,REG,10,2019-11-10,TB,ARI,30,27,outdoors,grass,0,5.5,51.0,77.0,8.0,3
2019_10_ATL_NO,2019,REG,10,2019-11-10,NO,ATL,9,26,dome,astroturf,1,14.0,51.5,,,-17
2019_10_BAL_CIN,2019,REG,10,2019-11-10,CIN,BAL,13,49,outdoors,grass,1,-10.5,44.0,56.0,9.0,-36
2019_10_DET_CHI,2019,REG,10,2019-11-10,CHI,DET,20,13,outdoors,grass,1,6.0,38.0,40.0,12.0,7
