season,player_id,player,pos,team,grp,group,is_rookie,norm_name,adp_half_ppr,adp_overall_rank,adp_pos_rank,pred,sleeper,y,model
2025,00-0034981,Foster Moreau,TE,NO,vet,veteran,0,foster moreau,687.3,1594.0,307.0,56.6,29.5,9.4,lightgbm
2025,00-0037539,Lucas Krull,TE,DEN,vet,veteran,0,lucas krull,694.0,1704.0,326.0,13.5,4.8,2.5,lightgbm
2025,00-0039737,Tip Reiman,TE,ARI,vet,veteran,0,tip reiman,256.0,237.0,31.0,20.3,7.4,3.3,lightgbm
2025,00-0039458,Brenden Bates,TE,CLE,vet,veteran,0,brenden bates,698.0,1786.0,347.0,2.6,,6.800000000000001,lightgbm
2025,00-0039648,David Martin-Robinson,TE,TEN,vet,veteran,0,david martinrobinson,381.7,405.0,81.0,5.5,,11.0,lightgbm
2025,00-0037282,James Mitchell,TE,CAR,vet,veteran,0,james mitchell,574.5,768.0,153.0,11.5,5.3,4.300000000000001,lightgbm
2025,00-0037292,Andrew Ogletree,TE,IND,vet,veteran,0,andrew ogletree,681.5,1488.0,286.0,30.9,,10.7,lightgbm
2025,00-0039754,Devin Culp,TE,TB,vet,veteran,0,devin culp,685.0,1555.0,299.0,4.4,17.7,7.1,lightgbm
2025,00-0036534,Shane Zylstra,TE,DET,vet,veteran,0,shane zylstra,550.4,697.0,136.0,2.7,,3.5,lightgbm
2025,00-0033576,Eric Saubert,TE,SEA,vet,veteran,0,eric saubert,678.0,1443.0,279.0,18.4,5.9,7.1,lightgbm
2025,00-0038809,Ben Sims,TE,GB,vet,veteran,0,ben sims,674.8,1398.0,273.0,7.7,,4.5,lightgbm
2025,00-0036876,Kylen Granson,TE,PHI,vet,veteran,0,kylen granson,690.0,1645.0,318.0,16.5,1.4,7.5,lightgbm
2025,00-0039631,Cam Grandy,TE,CIN,vet,veteran,0,cam grandy,287.0,308.0,52.0,6.2,2.9,1.7000000000000002,lightgbm
2025,00-0037654,Tucker Fisk,TE,LAC,vet,veteran,0,tucker fisk,326.0,352.0,65.0,8.5,5.9,2.9000000000000004,lightgbm
2025,00-0034798,Durham Smythe,TE,CHI,vet,veteran,0,durham smythe,668.7,1331.0,261.0,10.7,4.5,4.5,lightgbm
2025,00-0037755,Jelani Woods,TE,NYJ,vet,veteran,0,jelani woods,683.5,1530.0,294.0,6.1,,0.9,lightgbm
2025,00-0039824,Jared Wiley,TE,KC,vet,veteran,0,jared wiley,695.0,1727.0,334.0,18.2,3.0,0.9,lightgbm
2025,00-0039686,Colson Yankoff,TE,WAS,vet,veteran,0,colson yankoff,637.3,1078.0,200.0,-0.3,,2.8,lightgbm
2025,00-0034073,Ross Dwelley,TE,DET,vet,veteran,0,ross dwelley,566.5,746.0,148.0,1.0,,1.7000000000000002,lightgbm
2025,00-0033439,Pharaoh Brown,TE,MIA,vet,veteran,0,pharaoh brown,615.8,954.0,186.0,6.2,7.5,1.1,lightgbm
2025,00-0036232,Harrison Bryant,TE,HOU,vet,veteran,0,harrison bryant,499.0,569.0,112.0,17.7,1.4,1.7,lightgbm
2025,00-0039050,Payne Durham,TE,TB,vet,veteran,0,payne durham,610.0,924.0,180.0,27.8,17.8,1.6,lightgbm
2025,00-0038710,Blake Whiteheart,TE,CLE,vet,veteran,0,blake whiteheart,591.0,836.0,165.0,14.6,3.0,1.4,lightgbm
2025,00-0033757,Robert Tonyan,TE,KC,vet,veteran,0,robert tonyan,669.0,1333.0,262.0,6.4,3.0,0.6,lightgbm
2025,00-0024243,Marcedes Lewis,TE,DEN,vet,veteran,0,marcedes lewis,656.1,1217.0,230.0,13.2,,0.0,lightgbm
2025,00-0037277,Teagan Quitoriano,TE,ATL,vet,veteran,0,teagan quitoriano,666.0,1306.0,257.0,6.1,,0.0,lightgbm
2025,00-0038564,Cameron Latu,TE,PHI,vet,veteran,0,cameron latu,586.8,816.0,160.0,4.3,,0.0,lightgbm
2025,00-0038643,Brayden Willis,TE,SF,vet,veteran,0,brayden willis,594.9,854.0,170.0,0.2,,0.0,lightgbm
2025,00-0036423,Albert Okwuegbunam,TE,LV,vet,veteran,0,albert okwuegbunam,680.4,1476.0,285.0,9.2,6.0,6.1,lightgbm
2025,00-0038394,Will Mallory,TE,IND,vet,veteran,0,will mallory,664.5,1290.0,249.0,13.6,2.9,2.1,lightgbm
2025,00-0038498,E.J. Jenkins,TE,PHI,vet,veteran,0,ej jenkins,356.3,378.0,74.0,2.5,,0.0,lightgbm
2025,00-0038735,Princeton Fant,TE,DAL,vet,veteran,0,princeton fant,401.0,427.0,86.0,2.4,,0.0,lightgbm
2021,00-0036970,Kyle Pitts,TE,ATL,rook,rookie,1,kyle pitts,42.0,43.0,4.0,60.3,177.2,142.6,lightgbm
2021,00-0036894,Pat Freiermuth,TE,PIT,rook,rookie,1,pat freiermuth,209.3,181.0,24.0,47.7,96.5,121.7,lightgbm
2021,00-0035356,Tyree Jackson,TE,PHI,rook,rookie,1,tyree jackson,382.0,297.0,51.0,8.9,23.2,9.7,lightgbm
2021,00-0035771,Mitchell Wilcox,TE,CIN,rook,rookie,1,mitchell wilcox,486.8,356.0,67.0,11.5,25.3,3.1,lightgbm
2021,00-0036692,Miller Forristall,TE,TEN,rook,rookie,1,miller forristall,310.0,252.0,40.0,3.5,8.3,0.0,lightgbm
2022,00-0037838,Isaiah Likely,TE,BAL,rook,rookie,1,isaiah likely,225.7,195.0,26.0,43.2,81.2,73.3,lightgbm
2022,00-0036059,Tyler Mabry,TE,SEA,rook,rookie,1,tyler mabry,611.0,500.0,93.0,6.6,,7.2,lightgbm
2022,00-0037304,Connor Heyward,TE,PIT,rook,rookie,1,connor heyward,326.4,274.0,38.0,2.5,12.1,29.8,lightgbm
2022,00-0037168,Armani Rogers,TE,WAS,rook,rookie,1,armani rogers,583.9,479.0,85.0,8.0,22.1,11.500000000000002,lightgbm
2022,00-0037086,Grant Calcaterra,TE,PHI,rook,rookie,1,grant calcaterra,545.0,454.0,77.0,6.0,19.1,10.6,lightgbm
2023,00-0039065,Sam LaPorta,TE,DET,rook,rookie,1,sam laporta,155.1,139.0,16.0,66.3,120.3,196.3,lightgbm
2023,00-0038933,Dalton Kincaid,TE,BUF,rook,rookie,1,dalton kincaid,114.7,111.0,11.0,60.3,104.6,113.8,lightgbm
2023,00-0039144,Luke Musgrave,TE,GB,rook,rookie,1,luke musgrave,182.1,158.0,19.0,69.0,101.5,58.2,lightgbm
2023,00-0039066,Michael Mayer,TE,LV,rook,rookie,1,michael mayer,197.6,170.0,21.0,55.7,94.8,57.900000000000006,lightgbm
