player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score
00-0037594,Julius Chestnut,RB,TEN,NYG,2026,3,0.3375592992506891,00-0037594,8254,historical_crosswalk,2026_03_TEN_NYG,2026-09-27 13:00:00-04:00,4.0,4.0,0.27,none,,,,0.04402090743032734,0.0,0.0,,,,,27.0,18.75,1.0
00-0040556,Corey Kiner,RB,NE,JAX,2026,3,0.3004408912234603,00-0040556,12491,historical_crosswalk,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,3.0,3.0,0.55,none,,,,0.0,0.001475543086383331,0.021442100376575103,,,,,1.0,21.25,1.0
00-0040208,Tahj Brooks,RB,CIN,PIT,2026,3,0.2621587877733013,00-0040208,12543,historical_crosswalk,2026_03_CIN_PIT,2026-09-27 13:00:00-04:00,3.0,3.0,0.48,none,,,,0.0,0.18352014152584012,0.0,,,,,5.0,23.0,1.0
00-0039021,Roschon Johnson,RB,CHI,PHI,2026,3,0.23351179508490372,00-0039021,10235,historical_crosswalk,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,3.0,3.0,0.22,none,,,,0.0,0.0,0.0,,,,,7.0,20.5,1.0
00-0040238,LeQuint Allen,RB,JAX,NE,2026,3,0.2248773795819836,00-0040238,12544,historical_crosswalk,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,4.0,4.0,1.47,none,,,,0.22037200136908636,0.14324331606807308,0.1303649116608087,,,,,3.0,24.25,1.0
00-0035125,Alec Ingold,RB,LAC,BUF,2026,3,0.21629129832794147,00-0035125,6109,sleeper_gsis,2026_03_LAC_BUF,2026-09-27 13:00:00-04:00,4.0,4.0,0.67,none,,,,0.335488154893928,0.7116886184281507,0.18958270909379896,,,,,28.0,21.5,1.0
00-0039746,Will Shipley,RB,PHI,CHI,2026,3,0.1986519342831874,00-0039746,11577,historical_crosswalk,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,3.0,3.0,2.21,none,,,,0.0,0.03296720920241362,0.06583998864892432,,,,,14.0,23.5,1.0
00-0039603,British Brooks,RB,HOU,IND,2026,3,0.1980558164614039,00-0039603,12171,historical_crosswalk,2026_03_HOU_IND,2026-09-27 13:00:00-04:00,3.0,3.0,0.15,none,,,,1.7951248619225826,0.0,0.024242785501017165,,,,,21.0,23.0,1.0
00-0039407,Dylan Laube,RB,LV,NO,2026,3,0.1531700438985151,00-0039407,11574,historical_crosswalk,2026_03_LV_NO,2026-09-27 16:25:00-04:00,4.0,4.0,0.35,none,,,,0.7326961483943082,0.12787957234410746,0.0,,,,,31.0,20.5,1.0
sleeper:13405,Kaytron Allen,RB,WAS,SEA,2026,3,0.15026786177872767,,13405,synthetic_sleeper,2026_03_SEA_WAS,2026-09-27 13:00:00-04:00,3.0,3.0,1.79,none,,,,0.6114820095985287,0.976281263726228,0.1413806174742503,,,,,17.0,16.75,1.0
sleeper:13305,Mike Washington,RB,LV,NO,2026,3,0.13632024614561647,,13305,synthetic_sleeper,2026_03_LV_NO,2026-09-27 16:25:00-04:00,2.0,2.0,2.87,none,,,,1.2421102897522565,0.6989274706189385,0.046495813368838464,,,,,31.0,20.5,1.0
sleeper:13414,Kaelon Black,RB,SF,ARI,2026,3,0.11657477463431586,,13414,synthetic_sleeper,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,2.0,2.0,4.74,none,,,,3.7601575995427226,0.306855627330741,0.0906076548672251,,,,,13.0,28.0,1.0
sleeper:13516,Max Bredeson,RB,MIN,TB,2026,3,0.103303908600465,,13516,synthetic_sleeper,2026_03_MIN_TB,2026-09-27 16:05:00-04:00,4.0,4.0,0.09,none,,,,0.369844876743461,0.24917865201551365,0.0726401373526929,,,,,23.0,22.0,1.0
sleeper:13423,Eli Heidenreich,RB,PIT,CIN,2026,3,0.07150357514337513,,13423,synthetic_sleeper,2026_03_CIN_PIT,2026-09-27 13:00:00-04:00,4.0,3.0,0.24,none,,,,2.5553515397815048,0.3565123210467403,0.0532360366234809,,,,,10.0,19.5,1.0
00-0038951,Sean Tucker,RB,TB,MIN,2026,3,0.038612653769264024,00-0038951,9506,historical_crosswalk,2026_03_MIN_TB,2026-09-27 16:05:00-04:00,3.0,3.0,0.36,none,,,,1.3949442201278968,1.904869258242981,0.19808642083030265,,,,,11.0,20.5,1.0
