season,team,week,game_id,head_coach,hc_person_id,pc_person_id
2024,TEN,1,2024_01_TEN_CHI,Brian Callahan,brian_callahan,brian_callahan
2024,WAS,1,2024_01_WAS_TB,Dan Quinn,dan_quinn,kliff_kingsbury
2024,ARI,2,2024_02_LA_ARI,Jonathan Gannon,jonathan_gannon,drew_petzing
2024,ATL,2,2024_02_ATL_PHI,Raheem Morris,raheem_morris,zac_robinson
2024,BAL,2,2024_02_LV_BAL,John Harbaugh,john_harbaugh,todd_monken
2024,BUF,2,2024_02_BUF_MIA,Sean McDermott,sean_mcdermott,joe_brady
2024,CAR,2,2024_02_LAC_CAR,Dave Canales,dave_canales,dave_canales
2024,CHI,2,2024_02_CHI_HOU,Matt Eberflus,matt_eberflus,shane_waldron
2024,CIN,2,2024_02_CIN_KC,Zac Taylor,zac_taylor,zac_taylor
2024,CLE,2,2024_02_CLE_JAX,Kevin Stefanski,kevin_stefanski,kevin_stefanski
2024,DAL,2,2024_02_NO_DAL,Mike McCarthy,mike_mccarthy,mike_mccarthy
2024,DEN,2,2024_02_PIT_DEN,Sean Payton,sean_payton,sean_payton
2024,DET,2,2024_02_TB_DET,Dan Campbell,dan_campbell,ben_johnson
2024,GB,2,2024_02_IND_GB,Matt LaFleur,matt_lafleur,matt_lafleur
2024,HOU,2,2024_02_CHI_HOU,DeMeco Ryans,demeco_ryans,bobby_slowik
2024,IND,2,2024_02_IND_GB,Shane Steichen,shane_steichen,shane_steichen
2024,JAX,2,2024_02_CLE_JAX,Doug Pederson,doug_pederson,press_taylor
2024,KC,2,2024_02_CIN_KC,Andy Reid,andy_reid,andy_reid
2024,LA,2,2024_02_LA_ARI,Sean McVay,sean_mcvay,sean_mcvay
2024,LAC,2,2024_02_LAC_CAR,Jim Harbaugh,jim_harbaugh,greg_roman
2024,LV,2,2024_02_LV_BAL,Antonio Pierce,antonio_pierce,luke_getsy
2024,MIA,2,2024_02_BUF_MIA,Mike McDaniel,mike_mcdaniel,mike_mcdaniel
2024,MIN,2,2024_02_SF_MIN,Kevin O'Connell,kevin_oconnell,kevin_oconnell
2024,NE,2,2024_02_SEA_NE,Jerod Mayo,jerod_mayo,alex_van_pelt
2024,NO,2,2024_02_NO_DAL,Dennis Allen,dennis_allen,klint_kubiak
2024,NYG,2,2024_02_NYG_WAS,Brian Daboll,brian_daboll,brian_daboll
2024,NYJ,2,2024_02_NYJ_TEN,Robert Saleh,robert_saleh,nathaniel_hackett
2024,PHI,2,2024_02_ATL_PHI,Nick Sirianni,nick_sirianni,kellen_moore
2024,PIT,2,2024_02_PIT_DEN,Mike Tomlin,mike_tomlin,arthur_smith
2024,SEA,2,2024_02_SEA_NE,Mike Macdonald,mike_macdonald,ryan_grubb
2024,SF,2,2024_02_SF_MIN,Kyle Shanahan,kyle_shanahan,kyle_shanahan
2024,TB,2,2024_02_TB_DET,Todd Bowles,todd_bowles,liam_coen
2024,TEN,2,2024_02_NYJ_TEN,Brian Callahan,brian_callahan,brian_callahan
2024,WAS,2,2024_02_NYG_WAS,Dan Quinn,dan_quinn,kliff_kingsbury
2024,ARI,3,2024_03_DET_ARI,Jonathan Gannon,jonathan_gannon,drew_petzing
2024,ATL,3,2024_03_KC_ATL,Raheem Morris,raheem_morris,zac_robinson
2024,BAL,3,2024_03_BAL_DAL,John Harbaugh,john_harbaugh,todd_monken
2024,BUF,3,2024_03_JAX_BUF,Sean McDermott,sean_mcdermott,joe_brady
2024,CAR,3,2024_03_CAR_LV,Dave Canales,dave_canales,dave_canales
2024,CHI,3,2024_03_CHI_IND,Matt Eberflus,matt_eberflus,shane_waldron
2024,CIN,3,2024_03_WAS_CIN,Zac Taylor,zac_taylor,zac_taylor
2024,CLE,3,2024_03_NYG_CLE,Kevin Stefanski,kevin_stefanski,kevin_stefanski
2024,DAL,3,2024_03_BAL_DAL,Mike McCarthy,mike_mccarthy,mike_mccarthy
2024,DEN,3,2024_03_DEN_TB,Sean Payton,sean_payton,sean_payton
2024,DET,3,2024_03_DET_ARI,Dan Campbell,dan_campbell,ben_johnson
2024,GB,3,2024_03_GB_TEN,Matt LaFleur,matt_lafleur,matt_lafleur
2024,HOU,3,2024_03_HOU_MIN,DeMeco Ryans,demeco_ryans,bobby_slowik
2024,IND,3,2024_03_CHI_IND,Shane Steichen,shane_steichen,shane_steichen
2024,JAX,3,2024_03_JAX_BUF,Doug Pederson,doug_pederson,press_taylor
2024,KC,3,2024_03_KC_ATL,Andy Reid,andy_reid,andy_reid
2024,LA,3,2024_03_SF_LA,Sean McVay,sean_mcvay,sean_mcvay
2024,LAC,3,2024_03_LAC_PIT,Jim Harbaugh,jim_harbaugh,greg_roman
2024,LV,3,2024_03_CAR_LV,Antonio Pierce,antonio_pierce,luke_getsy
2024,MIA,3,2024_03_MIA_SEA,Mike McDaniel,mike_mcdaniel,mike_mcdaniel
2024,MIN,3,2024_03_HOU_MIN,Kevin O'Connell,kevin_oconnell,kevin_oconnell
2024,NE,3,2024_03_NE_NYJ,Jerod Mayo,jerod_mayo,alex_van_pelt
2024,NO,3,2024_03_PHI_NO,Dennis Allen,dennis_allen,klint_kubiak
2024,NYG,3,2024_03_NYG_CLE,Brian Daboll,brian_daboll,brian_daboll
2024,NYJ,3,2024_03_NE_NYJ,Robert Saleh,robert_saleh,nathaniel_hackett
2024,PHI,3,2024_03_PHI_NO,Nick Sirianni,nick_sirianni,kellen_moore
2024,PIT,3,2024_03_LAC_PIT,Mike Tomlin,mike_tomlin,arthur_smith
2024,SEA,3,2024_03_MIA_SEA,Mike Macdonald,mike_macdonald,ryan_grubb
2024,SF,3,2024_03_SF_LA,Kyle Shanahan,kyle_shanahan,kyle_shanahan
2024,TB,3,2024_03_DEN_TB,Todd Bowles,todd_bowles,liam_coen
2024,TEN,3,2024_03_GB_TEN,Brian Callahan,brian_callahan,brian_callahan
2024,WAS,3,2024_03_WAS_CIN,Dan Quinn,dan_quinn,kliff_kingsbury
2024,ARI,4,2024_04_WAS_ARI,Jonathan Gannon,jonathan_gannon,drew_petzing
2024,ATL,4,2024_04_NO_ATL,Raheem Morris,raheem_morris,zac_robinson
2024,BAL,4,2024_04_BUF_BAL,John Harbaugh,john_harbaugh,todd_monken
2024,BUF,4,2024_04_BUF_BAL,Sean McDermott,sean_mcdermott,joe_brady
2024,CAR,4,2024_04_CIN_CAR,Dave Canales,dave_canales,dave_canales
2024,CHI,4,2024_04_LA_CHI,Matt Eberflus,matt_eberflus,shane_waldron
2024,CIN,4,2024_04_CIN_CAR,Zac Taylor,zac_taylor,zac_taylor
2024,CLE,4,2024_04_CLE_LV,Kevin Stefanski,kevin_stefanski,kevin_stefanski
2024,DAL,4,2024_04_DAL_NYG,Mike McCarthy,mike_mccarthy,mike_mccarthy
2024,DEN,4,2024_04_DEN_NYJ,Sean Payton,sean_payton,sean_payton
2024,DET,4,2024_04_SEA_DET,Dan Campbell,dan_campbell,ben_johnson
2024,GB,4,2024_04_MIN_GB,Matt LaFleur,matt_lafleur,matt_lafleur
2024,HOU,4,2024_04_JAX_HOU,DeMeco Ryans,demeco_ryans,bobby_slowik
2024,IND,4,2024_04_PIT_IND,Shane Steichen,shane_steichen,shane_steichen
2024,JAX,4,2024_04_JAX_HOU,Doug Pederson,doug_pederson,press_taylor
2024,KC,4,2024_04_KC_LAC,Andy Reid,andy_reid,andy_reid
2024,LA,4,2024_04_LA_CHI,Sean McVay,sean_mcvay,sean_mcvay
2024,LAC,4,2024_04_KC_LAC,Jim Harbaugh,jim_harbaugh,greg_roman
2024,LV,4,2024_04_CLE_LV,Antonio Pierce,antonio_pierce,luke_getsy
2024,MIA,4,2024_04_TEN_MIA,Mike McDaniel,mike_mcdaniel,mike_mcdaniel
2024,MIN,4,2024_04_MIN_GB,Kevin O'Connell,kevin_oconnell,kevin_oconnell
2024,NE,4,2024_04_NE_SF,Jerod Mayo,jerod_mayo,alex_van_pelt
2024,NO,4,2024_04_NO_ATL,Dennis Allen,dennis_allen,klint_kubiak
2024,NYG,4,2024_04_DAL_NYG,Brian Daboll,brian_daboll,brian_daboll
2024,NYJ,4,2024_04_DEN_NYJ,Robert Saleh,robert_saleh,nathaniel_hackett
2024,PHI,4,2024_04_PHI_TB,Nick Sirianni,nick_sirianni,kellen_moore
2024,PIT,4,2024_04_PIT_IND,Mike Tomlin,mike_tomlin,arthur_smith
