season,team,plays,games,epa_play,success_rate,yards_play,explosive_rate,pass_rate,plays_per_game,proe,neutral_pass_rate,early_down_pass_rate,redzone_pass_rate,drive_scoring_points_per_drive_proxy,n_drives,redzone_td_rate,seconds_per_play
2001,NYJ,927,16,-0.03360713223684471,0.40756756756756757,5.1736785329018335,0.11231101511879049,0.5285868392664509,57.9375,,0.4915254237288136,0.4811188811188811,0.4344262295081967,1.52,175,0.4222222222222222,
2001,PHI,973,16,-0.04249240063111395,0.3895169578622816,5.060637204522097,0.08838643371017471,0.6310380267214799,60.8125,,0.6502463054187192,0.584573748308525,0.644927536231884,1.545,200,0.5555555555555556,
2001,PIT,1064,16,0.05937226440797511,0.42199248120300753,5.533834586466165,0.1193609022556391,0.48872180451127817,66.5,,0.5406976744186046,0.4264705882352941,0.4084507042253521,1.7513812154696133,181,0.38181818181818183,
2001,SEA,980,16,-0.03236642083744496,0.3795918367346939,4.869387755102041,0.08571428571428572,0.5459183673469388,61.25,,0.5432595573440644,0.488,0.4752475247524752,1.424731182795699,186,0.5263157894736842,
2001,SF,1040,16,0.08645972884306365,0.44519230769230766,5.471153846153846,0.09423076923076923,0.5528846153846154,65.0,,0.578494623655914,0.49443757725587145,0.4968152866242038,2.143646408839779,181,0.6481481481481481,
2001,TB,1040,16,-0.03791338771379993,0.3894230769230769,4.519230769230769,0.06826923076923076,0.6288461538461538,65.0,,0.5968688845401174,0.5470514429109159,0.5816993464052288,1.5901639344262295,183,0.4727272727272727,
2001,TEN,1026,16,-0.014554077424506482,0.3966861598440546,5.216374269005848,0.08284600389863547,0.5925925925925926,64.125,,0.5412667946257198,0.5218508997429306,0.4796747967479675,1.5561224489795917,196,0.5609756097560976,
2001,WAS,960,16,-0.10665509649531803,0.38333333333333336,4.619791666666667,0.08854166666666667,0.5114583333333333,60.0,,0.5029126213592233,0.45290858725761773,0.4,1.2447916666666667,192,0.41304347826086957,
2002,ARI,1001,16,-0.11264583591317322,0.3756243756243756,4.559440559440559,0.07492507492507493,0.6183816183816184,62.5625,,0.5588865096359743,0.5527704485488126,0.5317460317460317,1.2780748663101604,187,0.5476190476190477,
2002,ATL,1027,16,0.024909660729781787,0.4148003894839338,5.403115871470302,0.09639727361246349,0.5657254138266796,64.1875,,0.5618661257606491,0.506832298136646,0.4088397790055249,2.0591397849462365,186,0.5081967213114754,
2002,BAL,933,16,-0.06916967956057272,0.4115755627009646,4.984994640943194,0.0857449088960343,0.5744908896034298,58.3125,,0.5625,0.49363507779349364,0.4380952380952381,1.5027932960893855,179,0.5238095238095238,
2002,BUF,1050,16,0.013195180103794918,0.4676190476190476,5.328571428571428,0.08666666666666667,0.6419047619047619,65.625,,0.6032315978456014,0.589588377723971,0.5636363636363636,1.9781420765027322,183,0.5254237288135594,
2002,CAR,947,16,-0.19089584576398197,0.34318901795142553,4.536430834213305,0.09503695881731784,0.5533262935586061,59.1875,,0.5340909090909091,0.4957983193277311,0.43157894736842106,1.1127450980392157,204,0.5121951219512195,
2002,CHI,966,16,-0.1497700831855188,0.391304347826087,4.552795031055901,0.07763975155279502,0.6231884057971014,60.375,,0.5795677799607073,0.5673469387755102,0.5360824742268041,1.3979591836734695,196,0.5853658536585366,
2002,CIN,1046,16,-0.07017698861091277,0.43021032504780116,4.98565965583174,0.06500956022944551,0.612810707456979,65.375,,0.5391923990498813,0.5523329129886507,0.5333333333333333,1.404494382022472,178,0.46511627906976744,
2002,CLE,986,16,-0.014705410191066384,0.40872210953346855,5.105476673427992,0.0821501014198783,0.6075050709939148,61.625,,0.5603960396039604,0.5450928381962865,0.6186440677966102,1.7567567567567568,185,0.5454545454545454,
2002,DAL,946,16,-0.1950635263077884,0.3699788583509514,4.6257928118393234,0.09523809523809523,0.5866807610993657,59.125,,0.5355871886120996,0.5262430939226519,0.6031746031746031,0.8817733990147784,203,0.4,
2002,DEN,1046,16,0.06853891084229857,0.49235181644359466,5.832695984703633,0.08986615678776291,0.5927342256214149,65.375,,0.5523385300668151,0.5528554070473876,0.48366013071895425,2.0898876404494384,178,0.5964912280701754,
2002,DET,952,16,-0.1668741021662439,0.33508403361344535,4.70063025210084,0.08508403361344538,0.6397058823529411,59.5,,0.5932914046121593,0.5628491620111732,0.5808823529411765,1.3520408163265305,196,0.4166666666666667,
2002,GB,1051,16,-0.0063549995805005565,0.4319695528068506,5.29686013320647,0.08943862987630828,0.5899143672692674,65.6875,,0.569811320754717,0.5325953259532595,0.5923566878980892,1.9322916666666667,192,0.5081967213114754,
2002,HOU,946,16,-0.25018066333097605,0.3202959830866808,3.7769556025369977,0.06025369978858351,0.5919661733615222,59.125,,0.5388471177944862,0.5163584637268848,0.5428571428571428,0.83,200,0.4,
2002,IND,1038,16,0.007565883467232249,0.43834296724470134,5.418111753371869,0.0789980732177264,0.6146435452793835,64.875,,0.5828571428571429,0.5680100755667506,0.5277777777777778,1.910614525139665,179,0.5370370370370371,
2002,JAX,952,16,-0.27076560331973865,0.4012605042016807,5.098739495798319,0.08823529411764706,0.5787815126050421,59.5,,0.5391498881431768,0.5013888888888889,0.5106382978723404,1.0397727272727273,176,0.27450980392156865,
2002,KC,965,16,0.16467007579785412,0.47253886010362695,6.217616580310881,0.12020725388601036,0.5492227979274611,60.3125,,0.5267665952890792,0.4948051948051948,0.44666666666666666,2.4719101123595504,178,0.6666666666666666,
2002,LA,1022,16,-0.06523444264898212,0.4315068493150685,5.4412915851272015,0.09393346379647749,0.6741682974559687,63.875,,0.6408163265306123,0.6389578163771712,0.6076923076923076,1.6149732620320856,188,0.5094339622641509,
2002,LAC,1023,16,0.0032586205342520318,0.41935483870967744,5.210166177908113,0.10068426197458455,0.5689149560117303,63.9375,,0.5370741482965932,0.5118601747815231,0.5107913669064749,1.6170212765957446,188,0.6666666666666666,
2002,LV,1058,16,0.14238961311108583,0.501890359168242,5.904536862003781,0.08609271523178808,0.6446124763705104,66.125,,0.7111111111111111,0.6009445100354192,0.5159574468085106,2.437125748502994,167,0.5714285714285714,
2002,MIA,998,16,0.006078656311092593,0.44188376753507014,5.414829659318637,0.11222444889779559,0.5080160320641283,62.375,,0.4987012987012987,0.4518987341772152,0.4177215189873418,2.016216216216216,185,0.6428571428571429,
2002,MIN,1079,16,0.07259215373256545,0.45505097312326226,5.713623725671918,0.09731232622798888,0.6274328081556997,67.4375,,0.5825242718446602,0.5849941383352872,0.5247524752475248,2.0210526315789474,190,0.5538461538461539,
2002,NE,1020,16,-0.007941034929275082,0.43333333333333335,4.999019607843137,0.06568627450980392,0.6313725490196078,63.75,,0.6233480176211453,0.5987179487179487,0.49230769230769234,1.9101123595505618,178,0.5882352941176471,
2002,NO,990,16,-0.01144824329975069,0.38282828282828285,5.2696969696969695,0.08585858585858586,0.6191919191919192,61.875,,0.6061185468451242,0.5649867374005305,0.5798816568047337,2.111111111111111,189,0.5645161290322581,
2002,NYG,1053,16,0.0031623122665130196,0.4083570750237417,5.52991452991453,0.10256410256410256,0.5508072174738842,65.8125,,0.5752961082910322,0.4855072463768116,0.4720496894409938,1.6329787234042554,188,0.38333333333333336,
2002,NYJ,908,16,0.052673994044742205,0.44383259911894274,5.5561674008810575,0.1013215859030837,0.579295154185022,56.75,,0.5360576923076923,0.5169491525423728,0.4925373134328358,2.018292682926829,164,0.6037735849056604,
2002,PHI,1064,16,-0.0011126693593981392,0.43139097744360905,5.275375939849624,0.09022556390977443,0.5930451127819549,66.5,,0.5972222222222222,0.5476772616136919,0.5476190476190477,1.9948979591836735,196,0.5344827586206896,
2002,PIT,1088,16,-0.001359180491083707,0.43106617647058826,5.478860294117647,0.10018382352941177,0.5588235294117647,68.0,,0.5592841163310962,0.509478672985782,0.524390243902439,1.9322916666666667,192,0.5081967213114754,
2002,SEA,1047,16,0.017697570531343146,0.43075453677172876,5.558739255014327,0.07640878701050621,0.620821394460363,65.4375,,0.6108007448789572,0.5790123456790124,0.5521472392638037,1.803370786516854,178,0.5081967213114754,
2002,SF,1066,16,0.09736926621906282,0.4521575984990619,5.361163227016886,0.07692307692307693,0.5984990619136961,66.625,,0.5885608856088561,0.5351418002466092,0.55,2.0892857142857144,168,0.5084745762711864,
2002,TB,1018,16,-0.04993163574825388,0.4174852652259332,4.917485265225933,0.07170923379174853,0.6198428290766208,63.625,,0.6417004048582996,0.5699745547073791,0.5277777777777778,1.6162162162162161,185,0.4423076923076923,
2002,TEN,1015,16,0.041774193525105016,0.4492610837438424,5.209852216748769,0.07192118226600985,0.5576354679802956,63.4375,,0.5521327014218009,0.49744897959183676,0.4573170731707317,1.9597701149425288,174,0.5964912280701754,
2002,WAS,1028,16,-0.06256578674456542,0.41147859922178986,5.01556420233463,0.08852140077821012,0.5914396887159533,64.25,,0.5805785123966942,0.5593869731800766,0.5130434782608696,1.4895833333333333,192,0.6,
2003,ARI,976,16,-0.1754763626418773,0.3831967213114754,4.613729508196721,0.07274590163934426,0.632172131147541,61.0,,0.541860465116279,0.5532786885245902,0.5826771653543307,1.1675675675675676,185,0.46511627906976744,
