season,team,week,plays,games,epa_sum,epa_n,succ_sum,succ_n,yds_sum,yds_n,expl_sum,expl_n,pass_sum,neu_pass,neu_n,ear_pass,ear_n,rz_pass,rz_n,proe_sum,proe_n,adot_sum,adot_n,gap_sum,gap_n,drive_pts,drives,rz_td,rz_drives,car_tot,car_RB,car_WR,car_TE,car_QB,tgt_tot,tgt_RB,tgt_WR,tgt_TE,tgt_QB,rzo_tot,rzo_RB,rzo_WR,rzo_TE,rzo_QB
2013,BUF,15,70,1,2.3029770038280675,70,32.0,70,368.0,70,10.0,70,32.0,21.0,45.0,22.0,57,3.0,9.0,-818.3066934347153,70,155.0,24,1674.0,56,30.0,12,3.0,3.0,42,30,0.0,0.0,8.0,24,4.0,11,6.0,0.0,9.0,4.0,1.0,0.0,2.0
2013,BUF,16,73,1,-1.0658370375370128,73,33.0,73,393.0,73,6.0,73,28.0,12.0,23.0,18.0,55,3.0,14.0,-754.9221694469452,73,261.0,25,1730.0,60,19.0,12,1.0,4.0,47,39,2.0,0.0,4.0,25,6.0,15,4.0,0.0,14.0,10.0,1.0,1.0,0.0
2013,BUF,17,68,1,1.1025893176767982,68,24.0,68,393.0,68,11.0,68,34.0,7.0,22.0,21.0,52,4.0,11.0,-1184.998159110546,68,265.0,29,1487.0,57,20.0,11,2.0,4.0,35,33,0.0,0.0,2.0,28,11.0,12,5.0,0.0,8.0,7.0,1.0,0.0,0.0
2013,CAR,1,50,1,1.354890891292598,50,25.0,50,253.0,50,5.0,50,26.0,22.0,38.0,19.0,39,3.0,4.0,-188.5035738348961,50,147.0,23,1515.0,42,7.0,8,1.0,1.0,26,17,0.0,0.0,5.0,23,3.0,9,10.0,0.0,4.0,1.0,2.0,1.0,0.0
2013,CAR,2,76,1,-4.471524661606492,76,29.0,76,308.0,76,4.0,76,46.0,30.0,45.0,32.0,60,6.0,13.0,231.17179684340954,76,422.0,38,1783.0,64,23.0,12,1.0,4.0,32,22,0.0,0.0,4.0,38,0.0,28,8.0,0.0,11.0,5.0,3.0,1.0,1.0
2013,CAR,3,72,1,12.411080409768793,72,33.0,72,403.0,72,9.0,72,29.0,11.0,20.0,21.0,56,5.0,11.0,-657.8007094562054,72,368.0,27,1958.0,61,38.0,10,4.0,4.0,44,26,1.0,1.0,7.0,27,2.0,17,8.0,0.0,11.0,2.0,3.0,2.0,2.0
2013,CAR,5,66,1,-20.803995884236926,66,28.0,66,353.0,66,6.0,66,46.0,27.0,43.0,36.0,53,4.0,9.0,224.83674138784409,66,368.0,39,1584.0,54,4.0,12,0.0,3.0,20,12,0.0,0.0,4.0,38,5.0,26,6.0,0.0,9.0,4.0,3.0,0.0,1.0
2013,CAR,6,63,1,23.297448607860133,63,32.0,63,369.0,63,3.0,63,29.0,15.0,30.0,21.0,49,4.0,15.0,-281.16542994976044,63,140.0,26,1809.0,53,35.0,8,4.0,4.0,36,18,2.0,0.0,8.0,26,5.0,14,4.0,0.0,15.0,5.0,3.0,0.0,3.0
2013,CAR,7,53,1,3.0459653543244523,53,25.0,53,287.0,53,4.0,53,22.0,6.0,10.0,17.0,45,4.0,8.0,-181.2952570617199,53,118.0,17,1465.0,40,21.0,10,2.0,4.0,34,15,0.0,0.0,6.0,17,1.0,12,4.0,0.0,7.0,1.0,2.0,0.0,1.0
2013,CAR,8,60,1,12.8811941428866,60,28.0,60,329.0,60,7.0,60,39.0,17.0,28.0,29.0,47,6.0,13.0,629.1651263833046,60,230.0,32,1671.0,49,31.0,10,4.0,5.0,25,9,0.0,0.0,9.0,32,4.0,19,5.0,0.0,13.0,5.0,1.0,3.0,2.0
