season,team,person_id,role,games,team_games,exposure
2026,JAX,liam_coen,caller,17,17,1.0
2026,KC,andy_reid,caller,17,17,1.0
2026,LA,sean_mcvay,caller,17,17,1.0
2026,LAC,mike_mcdaniel,caller,17,17,1.0
2026,LV,klint_kubiak,caller,17,17,1.0
2026,MIA,bobby_slowik,caller,17,17,1.0
2026,MIN,kevin_oconnell,caller,17,17,1.0
2026,NE,josh_mcdaniels,caller,17,17,1.0
2026,NO,kellen_moore,caller,17,17,1.0
2026,NYG,matt_nagy,caller,17,17,1.0
2026,NYJ,frank_reich,caller,17,17,1.0
2026,PHI,sean_mannion,caller,17,17,1.0
2026,PIT,mike_mccarthy,caller,17,17,1.0
2026,SEA,brian_fleury,caller,17,17,1.0
2026,SF,kyle_shanahan,caller,17,17,1.0
2026,TB,zac_robinson,caller,17,17,1.0
2026,TEN,brian_daboll,caller,17,17,1.0
2026,WAS,david_blough,caller,17,17,1.0
2014,ATL,mike_smith,noncalling_hc_context,16,16,1.0
2014,BAL,john_harbaugh,noncalling_hc_context,16,16,1.0
2014,BUF,doug_marrone,noncalling_hc_context,16,16,1.0
2014,CAR,ron_rivera,noncalling_hc_context,16,16,1.0
2014,CIN,marvin_lewis,noncalling_hc_context,16,16,1.0
2014,CLE,mike_pettine,noncalling_hc_context,16,16,1.0
2014,DAL,jason_garrett,noncalling_hc_context,16,16,1.0
2014,DEN,john_fox,noncalling_hc_context,16,16,1.0
2014,DET,jim_caldwell,noncalling_hc_context,16,16,1.0
2014,IND,chuck_pagano,noncalling_hc_context,16,16,1.0
2014,LA,jeff_fisher,noncalling_hc_context,16,16,1.0
2014,LAC,mike_mccoy,noncalling_hc_context,16,16,1.0
2014,MIA,joe_philbin,noncalling_hc_context,16,16,1.0
2014,MIN,mike_zimmer,noncalling_hc_context,16,16,1.0
2014,NE,bill_belichick,noncalling_hc_context,16,16,1.0
2014,NYG,tom_coughlin,noncalling_hc_context,16,16,1.0
2014,NYJ,rex_ryan,noncalling_hc_context,16,16,1.0
2014,PIT,mike_tomlin,noncalling_hc_context,16,16,1.0
2014,SEA,pete_carroll,noncalling_hc_context,16,16,1.0
2014,TB,lovie_smith,noncalling_hc_context,16,16,1.0
2015,ATL,dan_quinn,noncalling_hc_context,16,16,1.0
2015,BAL,john_harbaugh,noncalling_hc_context,16,16,1.0
2015,BUF,rex_ryan,noncalling_hc_context,16,16,1.0
2015,CAR,ron_rivera,noncalling_hc_context,16,16,1.0
2015,CHI,john_fox,noncalling_hc_context,16,16,1.0
2015,DAL,jason_garrett,noncalling_hc_context,16,16,1.0
2015,DET,jim_caldwell,noncalling_hc_context,16,16,1.0
2015,GB,mike_mccarthy,noncalling_hc_context,13,16,0.8125
