player,position,team,ppg_pred,games_pred,projected_total,vor,our_overall_rank,our_pos_rank,adp_pos_rank,adp_overall_rank,value_gap,sleeper_pts_half_ppr,age,years_exp,target_ppg,target_games
John Bates,TE,WAS,1.063869563596403,16.988989184156974,18.07406850929309,-76.54303165376925,279.0,81.0,229.0,1213.0,148.0,17.4,27.81930184804928,4,1.4533333333333334,15.0
Devin Neal,RB,NO,3.7941568412329953,9.088613649094597,34.48362565403585,-76.81651389206496,280.0,86.0,76.0,232.0,-10.0,67.5,22.05612594113621,0,5.722222222222222,9.0
Justin Fields,QB,NYJ,14.370157130133238,10.271894510380863,147.60873813832603,-76.86650825950349,281.0,25.0,18.0,138.0,-7.0,242.44,26.494182067077343,4,15.851111111111113,9.0
Dare Ogunbowale,RB,HOU,2.4349457965200316,14.096250160002285,34.323605073792386,-76.97653447230843,282.0,87.0,424.0,1780.0,337.0,13.4,31.329226557152637,7,1.19375,16.0
Gabe Davis,WR,BUF,5.249614909724727,10.635384401338062,55.83167252391808,-77.00219835824322,283.0,90.0,626.0,1556.0,536.0,44.7,26.50513347022587,5,4.15,6.0
Travis Hunter,WR,JAX,3.927024542200465,14.186319510342624,55.710024880612764,-77.12384600154854,284.0,91.0,31.0,70.0,-60.0,165.5,22.29158110882957,0,7.114285714285715,7.0
Ollie Gordon II,RB,MIA,3.6643695977167114,9.239744370526045,33.857838362029774,-77.44230118407103,285.0,88.0,47.0,130.0,-41.0,71.6,21.6290212183436,0,2.976470588235294,17.0
Harrison Bryant,TE,HOU,1.2219968366058411,13.822025033410872,16.890470866314832,-77.72662929674752,286.0,82.0,112.0,569.0,30.0,1.4,27.359342915811087,5,0.1214285714285714,14.0
Dontayvion Wicks,WR,GB,3.372482515136184,16.284225801988274,54.91826678973496,-77.91560409242635,287.0,92.0,114.0,287.0,22.0,48.0,24.21081451060917,2,4.342857142857143,14.0
Durham Smythe,TE,CHI,1.0220081677007782,15.96771015783591,16.319130200786983,-78.29796996227536,288.0,83.0,261.0,1332.0,178.0,4.5,30.06433949349761,7,0.2368421052631578,19.0
Elijah Moore,WR,BUF,3.4940765626898043,15.606439796509557,54.53009552001348,-78.30377536214783,289.0,93.0,566.0,1401.0,473.0,22.4,25.43189596167009,4,2.41,10.0
Robbie Ouzts,RB,SEA,3.250860573321542,10.094696926080857,32.816452236626425,-78.48368730947439,290.0,89.0,379.0,1566.0,290.0,,22.98699520876112,0,0.0,13.0
Jack Bech,WR,LV,3.7347003138469312,14.469629737312324,54.03973072118923,-78.79414016097208,291.0,94.0,75.0,189.0,-19.0,68.1,22.704996577686515,0,2.16,15.0
Josh Williams,RB,TB,3.5045987171226782,9.247455195759354,32.40861961570768,-78.89151993039313,292.0,90.0,413.0,1739.0,323.0,6.1,25.229295003422312,0,,2.0
Tyler Goodson,RB,IND,2.8097240623788053,11.433648702430206,32.12539788000436,-79.17474166609645,293.0,91.0,247.0,1041.0,156.0,13.9,24.80766598220397,2,0.4666666666666667,9.0
Nate Adkins,TE,DEN,0.9377334780257518,16.421116092596268,15.398630306574942,-79.2184698564874,294.0,84.0,242.0,1256.0,158.0,,26.1492128678987,2,1.2545454545454546,11.0
Khalil Herbert,RB,NYJ,3.4626136218366668,9.254316527815291,32.04412247000143,-79.25601707609937,295.0,92.0,334.0,1385.0,242.0,3.2,27.364818617385357,4,2.0333333333333337,3.0
Ty Chandler,RB,MIN,3.202506809177949,9.966939832139092,31.91919267909237,-79.38094686700845,296.0,93.0,330.0,1361.0,237.0,28.8,27.307323750855577,3,,2.0
Devin Culp,TE,TB,1.857137297584628,8.06772035282717,14.982864373717952,-79.63423578934439,297.0,85.0,298.0,1552.0,213.0,17.7,25.579739904175224,1,0.71,10.0
Cameron Latu,TE,PHI,1.1852236570473778,12.354808652209066,14.643211492891814,-79.97388867017054,298.0,86.0,160.0,816.0,74.0,,25.51950718685832,0,0.0,16.0
