player,position,team,ppg_pred,games_pred,projected_total,vor,our_overall_rank,our_pos_rank,blend_rank,blend_pos_rank,adp_pos_rank,adp_overall_rank,value_gap,sleeper_pts_half_ppr,age,years_exp,target_ppg,target_games
D'Andre Swift,RB,CHI,10.378285171282613,15.379074498868285,159.6084208196553,44.88425127362329,33.0,16.0,52.0,20.0,24.0,57.0,8.0,175.4,27.630390143737166,6.0,,0.0
Rashee Rice,WR,KC,11.305748572281596,14.550646207887997,164.50594759060434,44.326246148510606,34.0,13.0,47.0,15.0,13.0,31.0,0.0,162.0,26.360027378507876,3.0,,0.0
Derrick Henry,RB,BAL,11.400093748115783,13.845289221006738,157.83759508925374,43.11342554322174,35.0,17.0,20.0,11.0,15.0,29.0,-2.0,236.2,32.6570841889117,10.0,,0.0
Emeka Egbuka,WR,TB,10.373579126562227,15.676226602241446,162.61857706427136,42.43887562217763,36.0,14.0,56.0,21.0,24.0,53.0,10.0,163.6,23.88227241615332,1.0,,0.0
Justin Herbert,QB,LAC,16.735535091151682,15.781156726233336,264.1061021708424,40.14478876804989,37.0,6.0,26.0,5.0,8.0,84.0,2.0,303.3,28.47912388774812,6.0,,0.0
Drake London,WR,ATL,11.289115594585088,14.18263964379707,160.1094583751702,39.92975693307646,38.0,15.0,25.0,9.0,7.0,16.0,-8.0,197.7,25.10609171800137,4.0,,0.0
Trevor Lawrence,QB,JAX,16.837066395901314,15.626149998903015,263.0985250438433,39.13721164105081,39.0,7.0,31.0,6.0,10.0,91.0,3.0,303.42,26.90485968514716,5.0,,0.0
Trey McBride,TE,AZ,9.84353520923582,15.115445962700008,148.78942453713896,38.3246589459053,40.0,1.0,33.0,1.0,1.0,20.0,0.0,191.4,26.77618069815195,4.0,,0.0
DeVonta Smith,WR,PHI,10.013284125260563,15.776041017216567,157.96998107715416,37.79027963506043,41.0,16.0,50.0,17.0,23.0,52.0,7.0,179.1,27.797399041752225,5.0,,0.0
Kyle Pitts,TE,ATL,9.69467382386164,15.262114449228765,147.96122144771863,37.49645585648497,42.0,2.0,77.0,5.0,7.0,72.0,5.0,138.6,25.90280629705681,5.0,,0.0
Christian McCaffrey,RB,SF,11.046650597246117,13.671591606937634,151.0252955900826,36.301126044050605,43.0,18.0,12.0,6.0,4.0,6.0,-14.0,256.0,30.2340862422998,9.0,,0.0
Matthew Stafford,QB,LA,15.798350429914217,16.406882554049837,259.2016800513253,35.240366648532785,44.0,8.0,46.0,12.0,14.0,119.0,6.0,280.22,38.56536618754278,15.0,,0.0
Brian Thomas Jr.,WR,JAX,10.067693500390291,15.174419507729562,152.77140465016456,32.591703208070825,45.0,17.0,72.0,26.0,37.0,82.0,20.0,152.9,23.89869952087611,2.0,,0.0
DK Metcalf,WR,PIT,10.040492126693064,15.058248985071607,151.1922303763953,31.012528934301557,46.0,18.0,71.0,25.0,33.0,74.0,15.0,152.3,28.71457905544148,7.0,,0.0
