week,position,slp_proj,name,norm_name
2,RB,18.39,Christian McCaffrey,christian mccaffrey
7,QB,18.38,Spencer Rattler,spencer rattler
13,QB,18.37,C.J. Stroud,cj stroud
13,WR,18.36,Jaxon Smith-Njigba,jaxon smithnjigba
4,QB,18.35,Sam Darnold,sam darnold
12,QB,18.34,Joe Flacco,joe flacco
5,QB,18.34,Geno Smith,geno smith
15,WR,18.33,Jaxon Smith-Njigba,jaxon smithnjigba
18,QB,18.32,Jacoby Brissett,jacoby brissett
16,QB,18.32,Sam Darnold,sam darnold
12,QB,18.32,Caleb Williams,caleb williams
4,QB,18.27,Jaxson Dart,jaxson dart
4,QB,18.26,Bryce Young,bryce young
2,QB,18.26,Joe Flacco,joe flacco
10,QB,18.25,Aaron Rodgers,aaron rodgers
12,QB,18.25,Jordan Love,jordan love
3,RB,18.24,Saquon Barkley,saquon barkley
5,QB,18.21,Sam Darnold,sam darnold
6,WR,18.19,Puka Nacua,puka nacua
10,RB,18.18,Jahmyr Gibbs,jahmyr gibbs
2,RB,18.17,Jahmyr Gibbs,jahmyr gibbs
10,QB,18.17,Trevor Lawrence,trevor lawrence
16,WR,18.16,Amon-Ra St. Brown,amonra st brown
6,QB,18.16,Dillon Gabriel,dillon gabriel
3,QB,18.15,Bryce Young,bryce young
14,QB,18.15,Shedeur Sanders,shedeur sanders
12,QB,18.15,Geno Smith,geno smith
2,RB,18.14,Derrick Henry,derrick henry
1,QB,18.12,Justin Herbert,justin herbert
10,WR,18.11,Jaxon Smith-Njigba,jaxon smithnjigba
17,RB,18.11,De'Von Achane,devon achane
10,QB,18.1,Caleb Williams,caleb williams
14,RB,18.1,Josh Jacobs,josh jacobs
12,QB,18.08,Jameis Winston,jameis winston
10,WR,18.08,Amon-Ra St. Brown,amonra st brown
3,QB,18.08,Michael Penix,michael penix
6,QB,18.07,Tua Tagovailoa,tua tagovailoa
11,QB,18.04,Jordan Love,jordan love
11,QB,18.03,Bryce Young,bryce young
5,QB,18.03,Bryce Young,bryce young
1,QB,18.03,Russell Wilson,russell wilson
15,QB,18.02,Aaron Rodgers,aaron rodgers
10,WR,18.01,Puka Nacua,puka nacua
4,RB,18.0,Jonathan Taylor,jonathan taylor
13,QB,17.99,Caleb Williams,caleb williams
11,QB,17.98,Jameis Winston,jameis winston
1,QB,17.96,Matthew Stafford,matthew stafford
2,QB,17.96,Bryce Young,bryce young
8,QB,17.94,Jordan Love,jordan love
12,RB,17.94,James Cook,james cook
5,RB,17.94,Jonathan Taylor,jonathan taylor
17,RB,17.94,Bijan Robinson,bijan robinson
17,QB,17.93,Shedeur Sanders,shedeur sanders
4,QB,17.93,Jake Browning,jake browning
13,QB,17.93,Tyrod Taylor,tyrod taylor
1,RB,17.91,Bijan Robinson,bijan robinson
1,QB,17.9,Caleb Williams,caleb williams
2,QB,17.89,Aaron Rodgers,aaron rodgers
7,QB,17.89,Trevor Lawrence,trevor lawrence
1,QB,17.89,C.J. Stroud,cj stroud
5,QB,17.88,Jake Browning,jake browning
2,QB,17.88,Michael Penix,michael penix
2,RB,17.87,Chase Brown,chase brown
14,QB,17.86,Aaron Rodgers,aaron rodgers
