player_id,player_display_name,position,team,opponent_team,gameday,projected_pts,implied_team_total,depth_chart_position,injury_status_score,is_home,off_epa_roll4,opp_season_win_pct,opp_win_pct_roll4,off_epa_rank,sos_rank,pred_qb_pass_yards,pred_qb_rush_yards,pred_rush_yards,pred_rec_yards,pred_wr_receptions,pred_wr_rec_yards,pred_te_receptions,pred_te_rec_yards
00-0036328,Antonio Gibson,RB,NE,CIN,2025-11-23,5.85,21.5,4.0,1.0,0,0.1569497663344893,0.3333333333333333,0.4147435897435897,5,24,,,19.25,13.64,,,,
00-0038797,Emanuel Wilson,RB,GB,MIN,2025-11-23,5.82,17.5,2.0,1.0,1,0.1529564013719251,0.4666666666666667,0.7367007992007992,6,1,,,33.28,7.15,,,,
00-0036360,Clyde Edwards-Helaire,RB,KC,IND,2025-11-23,5.69,23.5,2.0,1.0,1,-0.1152884611769509,0.7142857142857143,0.4682609057609058,25,17,,,25.37,11.05,,,,
00-0040162,Dylan Sampson,RB,CLE,LV,2025-11-23,5.6,19.25,2.0,1.0,0,-0.2035625371766095,0.6,0.5391483516483516,26,10,,,18.04,15.15,,,,
00-0035243,Miles Sanders,RB,DAL,PHI,2025-11-23,5.56,25.25,5.0,1.0,1,0.0876025690281826,0.0,0.5569222444222444,8,7,,,35.79,15.42,,,,
00-0035537,Ty Johnson,RB,BUF,HOU,2025-11-20,5.25,19.0,2.0,1.0,0,0.1692050266074698,0.6666666666666666,0.4848068598068598,2,16,,,9.82,19.88,,,,
00-0038551,Kendre Miller,RB,NO,ATL,2025-11-23,5.05,20.0,4.0,1.0,1,-0.0114811011743694,0.6,0.4249292374292374,19,22,,,21.91,5.3,,,,
00-0040586,Jaydon Blue,RB,DAL,PHI,2025-11-23,5.0,25.25,2.0,1.0,1,0.0876025690281826,0.7142857142857143,0.5569222444222444,8,7,,,26.24,7.44,,,,
00-0040202,Devin Neal,RB,NO,ATL,2025-11-23,4.92,20.0,2.0,1.0,1,-0.0114811011743694,0.5833333333333334,0.4249292374292374,19,22,,,25.8,11.38,,,,
00-0036096,J.J. Taylor,RB,HOU,BUF,2025-11-20,4.86,24.5,2.0,1.0,1,0.0063511369932493,0.0,0.4002247752247752,16,25,,,30.78,5.8,,,,
00-0038678,Jordan Mims,RB,NO,ATL,2025-11-23,4.74,20.0,2.0,1.0,1,-0.0114811011743694,0.7142857142857143,0.4249292374292374,19,22,,,21.77,10.32,,,,
00-0036670,Jermar Jefferson,RB,DET,NYG,2025-11-23,4.68,18.25,2.0,1.0,1,0.1573203137248841,0.2857142857142857,0.6192557442557443,4,4,,,22.37,10.97,,,,
00-0039373,Audric Estimé,RB,NO,ATL,2025-11-23,4.62,20.0,3.0,1.0,1,-0.0114811011743694,0.2,0.4249292374292374,19,22,,,16.52,12.37,,,,
00-0038555,Tank Bigsby,RB,PHI,DAL,2025-11-23,4.56,22.25,2.0,1.0,0,0.0590580013814779,0.7333333333333333,0.4583749583749584,12,20,,,28.95,5.58,,,,
