population,universe,panel,threshold,panel_complete_n,perm_observed,perm_null_mean,perm_null_p95,perm_p_value,perm_n,vs_model_alone_hr_a,vs_model_alone_hr_b,vs_model_alone_lift,vs_model_alone_lo,vs_model_alone_hi,vs_model_alone_n_a,vs_model_alone_n_b,vs_model_alone_boot_ok,vs_sleeper_alone_hr_a,vs_sleeper_alone_hr_b,vs_sleeper_alone_lift,vs_sleeper_alone_lo,vs_sleeper_alone_hi,vs_sleeper_alone_n_a,vs_sleeper_alone_n_b,vs_sleeper_alone_boot_ok
all_adp,A,pooled_2021_2025,10.0,1679,0.9123867069486404,0.5036389728096676,0.5498489425981873,9.999000099990002e-05,331,0.9123867069486404,0.5607064017660044,0.35168030518263604,0.29775068807778565,0.4067852117131486,331,453,10000,0.9123867069486404,0.7957446808510639,0.11664202609757657,0.05746633797006162,0.17749454860433078,331,235,10000
all_adp,B,pooled_2024_2025,0.0,866,0.7760314341846758,0.49479941060903737,0.5304518664047151,9.999000099990002e-05,509,0.7760314341846758,0.44242424242424244,0.33360719176043335,0.2696216168091168,0.3966494082384429,509,330,10000,0.7760314341846758,0.5993485342019544,0.17668289998272135,0.11173249882260766,0.2418713702820679,509,307,10000
all_adp,B,pooled_2024_2025,5.0,866,0.8535825545171339,0.4942386292834891,0.5389408099688473,9.999000099990002e-05,321,0.8535825545171339,0.4872611464968153,0.36632140802031865,0.2973593106469696,0.4315363399543229,321,314,10000,0.8535825545171339,0.698019801980198,0.15556275253693597,0.08129034308766278,0.22926397174188462,321,202,10000
all_adp,B,pooled_2024_2025,7.5,866,0.8695652173913043,0.4944028985507246,0.5434782608695652,9.999000099990002e-05,276,0.8695652173913043,0.506896551724138,0.3626686656671664,0.2915410814675981,0.43003883791791164,276,290,10000,0.8695652173913043,0.7292817679558011,0.1402834494355032,0.06444650587507736,0.21748389895925305,276,181,10000
all_adp,B,pooled_2024_2025,10.0,866,0.8874458874458875,0.49491168831168836,0.5497835497835498,9.999000099990002e-05,231,0.8874458874458875,0.5537190082644629,0.33372687918142463,0.25826235870770736,0.40661446463882045,231,242,10000,0.8874458874458875,0.726027397260274,0.1614184901856135,0.07899039070767268,0.2449186862848282,231,146,10000
all_adp,B,pooled_2023_2025,0.0,1150,0.7576687116564417,0.4926193251533743,0.5245398773006135,9.999000099990002e-05,652,0.7576687116564417,0.4358407079646018,0.3218280036918399,0.2650767575988219,0.37708163023432545,652,452,10000,0.7576687116564417,0.5875299760191847,0.170138735637257,0.11195738132944909,0.22765040688685534,652,417,10000
all_adp,B,pooled_2023_2025,5.0,1150,0.8418230563002681,0.49344557640750664,0.5361930294906166,9.999000099990002e-05,373,0.8418230563002681,0.495260663507109,0.3465623927931591,0.28702770166136654,0.4074831856521953,373,422,10000,0.8418230563002681,0.708,0.13382305630026814,0.06840925679482697,0.20178802440398158,373,250,10000
all_adp,B,pooled_2023_2025,7.5,1150,0.8664495114006515,0.4934905537459284,0.5407166123778502,9.999000099990002e-05,307,0.8664495114006515,0.5217391304347826,0.3447103809658689,0.28308166644783894,0.40757250520682564,307,391,10000,0.8664495114006515,0.7351598173515982,0.13128969404905333,0.06337986632298004,0.20150784840755148,307,219,10000
all_adp,B,pooled_2023_2025,10.0,1150,0.8938775510204081,0.49351387755102044,0.5469387755102041,9.999000099990002e-05,245,0.8938775510204081,0.5766871165644172,0.31719043445599093,0.2511641686728275,0.3848199830097162,245,326,10000,0.8938775510204081,0.7543859649122807,0.1394915861081274,0.06560639307849998,0.21645746906357483,245,171,10000
all_adp,B,pooled_2021_2025,0.0,1679,0.7508021390374332,0.48995336898395725,0.5176470588235295,9.999000099990002e-05,935,0.7508021390374332,0.4298375184638109,0.3209646205736223,0.27484941118797135,0.36700413560153294,935,677,10000,0.7508021390374332,0.594855305466238,0.1559468335711952,0.10818278537909362,0.20279698635610546,935,622,10000
