player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status,pred_qb_pass_yards,pred_qb_rush_yards,pred_qb_receptions,pred_rush_yards,pred_rec_yards,pred_rb_receptions,pred_wr_rec_yards,pred_wr_receptions,pred_te_rec_yards,pred_te_receptions,off_epa_rank,implied_team_total,injury_status_score,actual_half_ppr,projection_error,absolute_error
sleeper:13268,Elijah Sarratt,WR,BAL,DAL,2026,3,0.323553931444031,,13268,synthetic_sleeper,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,6.0,6.0,0.15,none,,,,,,,2.4905504349682364,0.5360744467636538,,,2.0,27.75,1.0,,,
00-0036862,Ben Skowronek,WR,PIT,CIN,2026,3,0.3167528369755823,00-0036862,7757,historical_crosswalk,2026_03_CIN_PIT,2026-09-27 13:00:00-04:00,5.0,5.0,0.18,none,,,,,,,3.205385702144905,0.5110081519117303,,,10.0,19.5,1.0,,,
sleeper:13301,Antonio Williams,WR,WAS,SEA,2026,3,0.3023642960402873,,13301,synthetic_sleeper,2026_03_SEA_WAS,2026-09-27 13:00:00-04:00,3.0,3.0,3.47,none,,,,,,,5.232529183293489,0.8219346034995043,,,17.0,16.75,1.0,,,
00-0037132,Britain Covey,WR,PHI,CHI,2026,3,0.2987564295770906,00-0037132,8414,historical_crosswalk,2026_03_PHI_CHI,2026-09-28 20:15:00-04:00,7.0,7.0,0.12,none,,,,,,,0.3318770859286867,0.0211085395952908,,,14.0,23.5,1.0,,,
00-0040506,Myles Price,WR,MIN,TB,2026,3,0.296623772452139,00-0040506,13075,historical_crosswalk,2026_03_MIN_TB,2026-09-27 16:05:00-04:00,5.0,5.0,0.09,none,,,,,,,2.0259079379213367,0.1862499809783855,,,23.0,22.0,1.0,,,
sleeper:13394,Josh Cameron,WR,JAX,NE,2026,3,0.2914792584054619,,13394,synthetic_sleeper,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,5.0,5.0,2.02,none,,,,,,,1.996908546610532,0.1584935949479214,,,3.0,24.25,1.0,,,
00-0039365,Jacob Cowing,WR,SF,ARI,2026,3,0.2725587801974514,00-0039365,11616,historical_crosswalk,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,3.0,3.0,2.3,none,,,,,,,4.298412308841023,0.3195029953858103,,,13.0,28.0,1.0,,,
00-0040237,Tez Johnson,WR,TB,MIN,2026,3,0.2724787215198146,00-0040237,12485,historical_crosswalk,2026_03_MIN_TB,2026-09-27 16:05:00-04:00,5.0,5.0,1.66,none,,,,,,,0.9067471771430556,0.1359604430246932,,,11.0,20.5,1.0,,,
00-0040075,LaJohntay Wester,WR,BAL,DAL,2026,3,0.267859692375434,00-0040075,12699,historical_crosswalk,2026_03_BAL_DAL,2026-09-27 16:25:00-04:00,5.0,5.0,1.93,none,,,,,,,1.3116251133412509,0.4117906977089803,,,2.0,27.75,1.0,,,
sleeper:13329,Malik Benson,WR,LV,NO,2026,3,0.2604115441136497,,13329,synthetic_sleeper,2026_03_LV_NO,2026-09-27 16:25:00-04:00,4.0,4.0,0.79,none,,,,,,,1.660266771258044,0.3907628570509337,,,31.0,20.5,1.0,,,
00-0040154,Tai Felton,WR,MIN,TB,2026,3,0.2492499761514154,00-0040154,12496,historical_crosswalk,2026_03_MIN_TB,2026-09-27 16:05:00-04:00,4.0,4.0,1.47,none,,,,,,,3.800385545160055,0.4564860186347479,,,23.0,22.0,1.0,,,
00-0040646,Jalen Royals,WR,KC,MIA,2026,3,0.2467707475184259,00-0040646,12505,historical_crosswalk,2026_03_KC_MIA,2026-09-27 13:00:00-04:00,4.0,4.0,1.57,none,,,,,,,0.526232408191588,0.1865681202478744,,,32.0,28.75,1.0,,,
00-0037093,Dareke Young,WR,LV,NO,2026,3,0.245787015953489,00-0037093,8527,historical_crosswalk,2026_03_LV_NO,2026-09-27 16:25:00-04:00,5.0,5.0,0.38,Questionable,,,,,,,0.7249339872265779,0.3395538367947203,,,31.0,20.5,0.5,,,
00-0036630,Tylan Wallace,WR,CLE,CAR,2026,3,0.2345666435358854,00-0036630,7595,historical_crosswalk,2026_03_CAR_CLE,2026-09-27 13:00:00-04:00,6.0,6.0,0.58,none,,,,,,,0.0,0.247484617457591,,,29.0,19.5,1.0,,,
00-0037524,Tay Martin,WR,DET,NYJ,2026,3,0.2232745867321511,00-0037524,8250,historical_crosswalk,2026_03_NYJ_DET,2026-09-27 13:00:00-04:00,5.0,5.0,0.67,none,,,,,,,1.5442421829389243,0.2721053445236997,,,18.0,27.25,1.0,,,
sleeper:13285,Malachi Fields,WR,NYG,TEN,2026,3,0.2208317003809493,,13285,synthetic_sleeper,2026_03_TEN_NYG,2026-09-27 13:00:00-04:00,2.0,2.0,5.44,none,,,,,,,0.0,0.1341128559197603,,,9.0,21.75,1.0,,,
00-0036626,Dyami Brown,WR,WAS,SEA,2026,3,0.2134916818439362,00-0036626,7587,historical_crosswalk,2026_03_SEA_WAS,2026-09-27 13:00:00-04:00,4.0,4.0,1.68,none,,,,,,,0.0,0.2720154416622787,,,17.0,16.75,1.0,,,
00-0035544,Tom Kennedy,WR,DET,NYJ,2026,3,0.2106052756488134,00-0035544,6588,sleeper_gsis,2026_03_NYJ_DET,2026-09-27 13:00:00-04:00,4.0,4.0,0.45,none,,,,,,,0.0616141953878666,0.0770879627583477,,,18.0,27.25,1.0,,,
00-0038728,Jared Wayne,WR,HOU,IND,2026,3,0.2041514565403715,00-0038728,11056,historical_crosswalk,2026_03_HOU_IND,2026-09-27 13:00:00-04:00,8.0,5.0,0.88,none,,,,,,,1.219943789486341,0.2964759242439512,,,21.0,23.0,1.0,,,
sleeper:13333,Deion Burks,WR,IND,HOU,2026,3,0.192831617304951,,13333,synthetic_sleeper,2026_03_HOU_IND,2026-09-27 13:00:00-04:00,6.0,5.0,0.53,none,,,,,,,1.6384135764222838,0.2773532960284673,,,22.0,20.5,1.0,,,
00-0035891,Cody White,WR,LV,NO,2026,3,0.1878846314626103,00-0035891,7039,historical_crosswalk,2026_03_LV_NO,2026-09-27 16:25:00-04:00,8.0,6.0,1.04,none,,,,,,,4.540765156215994,0.3603200306911194,,,31.0,20.5,1.0,,,
00-0038573,Derius Davis,WR,LAC,BUF,2026,3,0.16283359570869,00-0038573,10234,historical_crosswalk,2026_03_LAC_BUF,2026-09-27 13:00:00-04:00,5.0,5.0,1.29,none,,,,,,,1.7958543304137848,0.1092847263888613,,,28.0,21.5,1.0,,,
00-0036331,Devin Duvernay,WR,ARI,SF,2026,3,0.1405543023045491,00-0036331,6847,historical_crosswalk,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,6.0,6.0,0.17,none,,,,,,,0.0,0.0249945442313132,,,15.0,19.5,1.0,,,
sleeper:13420,Bryce Lance,WR,NO,LV,2026,3,0.0950198930122468,,13420,synthetic_sleeper,2026_03_LV_NO,2026-09-27 16:25:00-04:00,3.0,3.0,1.43,none,,,,,,,2.1939694125018807,0.2769165203038306,,,8.0,23.5,1.0,,,
00-0040164,Jaylin Lane,WR,WAS,SEA,2026,3,0.0699209584467009,00-0040164,12641,historical_crosswalk,2026_03_SEA_WAS,2026-09-27 13:00:00-04:00,5.0,5.0,0.49,none,,,,,,,1.2310426727333803,0.2825135868261923,,,17.0,16.75,1.0,,,
00-0036849,Tutu Atwell,WR,LA,DEN,2026,3,0.0399704660721247,00-0036849,7562,historical_crosswalk,2026_03_LA_DEN,2026-09-27 20:20:00-04:00,3.0,3.0,0.68,none,,,,,,,2.8561529526641776,0.0,,,4.0,24.0,1.0,,,
00-0038640,Jalen Brooks,WR,ARI,SF,2026,3,0.0155855087127716,00-0038640,11034,historical_crosswalk,2026_03_ARI_SF,2026-09-27 16:05:00-04:00,4.0,4.0,0.29,none,,,,,,,2.294479476093934,0.0523161742419582,,,15.0,19.5,1.0,,,
00-0040563,Efton Chism,WR,NE,JAX,2026,3,0.0115001796638231,00-0040563,12542,historical_crosswalk,2026_03_NE_JAX,2026-09-27 13:00:00-04:00,5.0,5.0,1.06,none,,,,,,,0.240937002832784,0.0118800129485686,,,1.0,21.25,1.0,,,
