"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Nate Landman","LB","LAR",8,92,33,5.47,68.8,127,-25,-22.6,-27.6,359,327,359,35,"2",27,NA,5.83,75,3
"Renardo Green","DB","SF",14,80,27.6,1.21,60.1,98.2,-25,-27.4,-29.1,360,372,374,51,"3",25,NA,NA,99,1
"Matthew Stafford","QB","LAR",8,245,16.8,0.298,219,263,-26,-39.7,-36,363,468,401,21,"8",38,148,4.61,42,16
"Matthew Stafford","QB","LAR",8,245,16.8,0.298,219,263,-26,-39.7,-36,363,468,401,21,"8",38,148,4.61,42,16
"Keenan Allen","WR","LAC",12,101,23.6,6.21,73.6,130,-26.1,-31.1,-24.9,364,405,341,55,"9",34,132,3.99,95,12
"Graham Gano","K","NYG",14,120,18.3,0.351,84.6,143,-26.1,-51.5,-12.7,366,532,235,29,"4",39,170,0,94,16
"Donovan Wilson","DB","DAL",10,78.8,22.7,0.135,62.7,103,-26.2,-24.8,-24.3,367,350,335,52,"3",31,NA,NA,41,6
"Bryce Young","QB","CAR",14,244,16.8,3.41,219,270,-26.3,-39.8,-28.5,368,470,366,22,"8",24,148,2.33,25,2
"Elijah Arroyo","TE","SEA",8,61.3,19.7,4.68,29,87.7,-26.4,-46,-17.6,370,511,281,33,"9",23,166,3.04,94,0
"L'Jarius Sneed","DB","TEN",10,78.7,22.5,0.678,57.3,101,-26.4,-30.2,-26.5,369,394,350,53,"3",29,NA,NA,86,5
"Ryan Fitzgerald","K","CAR",14,120,21.4,4.72,81.9,137,-26.5,-54.2,-18.9,372,546,290,30,"5",25,170,0,81,0
"Daxton Hill","DB","CIN",10,78,28.2,0.301,51.1,106,-27,-36.4,-21.7,375,441,316,54,"3",25,NA,NA,83,3
"Keisean Nixon","DB","GB",5,77.7,15.6,0.106,66.1,94.2,-27.3,-21.4,-33.1,377,312,390,55,"3",29,NA,NA,60,6
"Cam Taylor-Britt","DB","CIN",10,77.6,2.05,0.0556,76.2,79.1,-27.4,-11.3,-48.2,379,219,450,56,"3",26,NA,NA,9,3
"Cooper DeJean","DB","PHI",9,77.5,21.6,0.494,64.3,101,-27.5,-23.2,-26.6,381,336,352,57,"3",23,NA,NA,84,1
"Ray Davis","RB","BUF",7,88.1,24.3,1.39,66,137,-27.7,-17.9,-16.7,382,271,272,47,"11",26,144,1.99,66,1
"Alohi Gilman","DB","LAC",12,77.1,27.2,0.811,56.9,106,-28,-30.6,-21.4,385,402,313,58,"3",28,NA,NA,90,5
"Will Harris","DB","WAS",12,76.2,32.5,0.482,54.6,99.2,-28.8,-32.9,-28.1,387,415,365,59,"3",30,NA,4.8,93,6
"Tyler Allgeier","RB","ATL",5,86.8,6.13,5.35,78.7,96.9,-29.1,-5.26,-56.4,388,168,501,48,"11",26,149,2.44,4,3
"Harrison Smith","DB","MIN",6,75.8,27.1,0.0228,47.3,99.7,-29.3,-40.2,-27.6,390,474,358,60,"3",37,NA,NA,62,13
"Geno Smith","QB","LVR",8,241,14,0.98,217,257,-29.7,-41.9,-41.2,392,489,427,23,"8",35,151,3.51,28,12
"Tyrice Knight","LB","SEA",8,86.5,36.6,2.34,54.6,124,-30.4,-36.9,-30.7,393,446,383,36,"2",26,NA,NA,70,1
"Tua Tagovailoa","QB","MIA",12,240,20.9,3.86,210,267,-30.7,-49.1,-31.7,397,525,388,24,"8",28,142,3.35,47,5
"Ja'Tavion Sanders","TE","CAR",14,56.7,8.34,2.55,43.7,67.3,-31,-31.3,-37.9,399,407,418,34,"10",23,178,1.34,49,1
"Tyler Bass","K","BUF",7,115,36.1,5.74,60.2,148,-31.2,-75.9,-7.95,401,681,191,31,"5",29,149,1.66,97,5
"Xavier Legette","WR","CAR",14,95,11.9,2.69,72.2,108,-32.3,-32.6,-47.5,403,413,446,56,"9",25,151,1.41,60,1
"Devin Lloyd","LB","JAC",8,84.1,15.6,0.536,67.2,97.1,-32.8,-24.3,-57.6,405,344,509,37,"2",27,NA,5.47,2,3
"Dre Greenlaw","LB","DEN",12,83.6,60.5,0.937,20.3,137,-33.3,-71.2,-17.2,409,639,276,38,"2",29,NA,NA,98,6
"Taysom Hill","TE","NO",11,54.1,23.3,1.79,35.9,80,-33.6,-39.1,-25.2,412,462,342,35,"10",35,NA,2.04,97,8
"Micah McFadden","LB","NYG",14,82.7,32.1,1.52,61.3,117,-34.2,-30.2,-37.8,416,395,415,39,"2",26,NA,2.62,41,3
"Dylan Sampson","RB","CLE",9,81.4,40.5,0.00598,16.4,144,-34.5,-67.6,-8.88,417,613,199,49,"11",21,148,3.06,89,0
"Braelon Allen","RB","NYJ",9,81.4,12.6,0.0183,64.2,101,-34.5,-19.8,-52.7,418,290,471,50,"11",22,132,4.68,44,1
"Kareem Hunt","RB","KC",10,81.4,12.6,2.08,67.1,104,-34.5,-16.8,-49.7,419,265,459,51,"11",30,153,2.46,61,8
"Michael Penix Jr.","QB","ATL",5,236,10.9,8.58,224,254,-34.6,-35.3,-44.3,420,434,436,25,"9",26,147,2.44,17,1
"Marquise Brown","WR","KC",10,92.3,24,1.34,42.8,113,-35,-62,-41.5,422,583,428,57,"9",29,151,3.56,93,6
"Will Dissly","TE","LAC",12,52.3,8.47,0.676,38.6,63,-35.4,-36.5,-42.2,425,443,430,36,"10",30,170,1.09,80,7
"Germaine Pratt","LB","LVR",8,81.1,45.5,0.915,39.2,126,-35.8,-52.3,-28.8,427,536,368,40,"2",30,NA,6.02,89,6
"Cedric Tillman","WR","CLE",9,91,17,1.46,57.7,104,-36.3,-47,-50.9,429,515,464,58,"9",26,169,2.55,67,2
"Rico Dowdle","RB","CAR",14,79.3,15.6,0.215,63.5,110,-36.6,-20.5,-42.9,430,304,431,52,"11",28,161,2.54,46,5
"Pete Werner","LB","NO",11,80.2,31.5,0.505,61.1,114,-36.7,-30.4,-40.7,431,400,426,41,"2",27,NA,NA,74,4
"Brian Robinson","RB","SF",14,79.1,17.6,2.5,64.2,107,-36.8,-19.8,-46.4,433,291,445,53,"12",27,125,3.83,68,3
"Andre Szmyt","K","CLE",9,109,19.9,31.5,83.3,128,-37,-52.8,-28,434,539,364,32,"6",27,170,0,39,2
"Mack Wilson","LB","ARI",8,79.7,22.7,1.06,65.1,104,-37.2,-26.3,-50.7,436,363,461,42,"2",28,NA,4.3,30,6
"Quentin Johnston","WR","LAC",12,89.5,26.5,1.23,46.7,116,-37.8,-58.1,-39.1,440,569,424,59,"9",24,167,2.39,90,2
"Nakobe Dean","LB","PHI",9,78.7,36.1,0.902,55.2,117,-38.3,-36.2,-37.4,442,439,413,43,"2",25,NA,6.67,92,3
"Brandon Aiyuk","WR","SF",14,88.3,31.3,0.879,50.5,155,-39,-54.3,0,451,548,130,60,"9",28,141,3.74,96,5
"Drue Tranquill","LB","KC",10,77.8,36.4,2.57,52.4,117,-39.2,-39.1,-38.1,452,461,420,44,"2",30,NA,NA,85,6
"Tyjae Spears","RB","TEN",10,76.6,23.4,7.77,44.4,109,-39.3,-39.5,-44.6,454,466,440,54,"12",25,150,1.84,77,2
"Jayden Higgins","WR","HOU",6,87.4,29.8,0.0342,32.6,124,-39.9,-72.2,-31.1,458,646,386,61,"9",23,140,2.71,97,0
"Romeo Doubs","WR","GB",5,87.4,16.2,2.91,69.7,112,-39.9,-35.1,-43.4,459,432,434,62,"9",26,163,1.6,62,3
"Henry To'oTo'o","LB","HOU",6,75.2,19.4,0.479,57.7,94.8,-41.7,-33.8,-59.8,469,421,523,45,"2",25,NA,NA,28,2
"Elandon Roberts","LB","LVR",8,74.7,21.1,0.052,58.7,97,-42.2,-32.8,-57.7,472,414,510,46,"2",32,NA,7.61,33,9
"Ivan Pace","LB","MIN",6,74.7,7.56,3.68,66.9,81.5,-42.3,-24.6,-73.2,475,347,600,47,"2",25,NA,5.81,8,2
"Demario Douglas","WR","NE",14,84.5,11.4,3.7,63.9,99.6,-42.8,-40.9,-55.4,479,483,492,63,"10",25,163,2.22,66,2
"Sam Darnold","QB","SEA",8,227,14.7,0.695,205,247,-43.2,-53.9,-51.5,482,544,466,26,"9",29,151,3.99,19,7
"Cam Ward","QB","TEN",10,227,20.7,1.09,191,248,-43.9,-67.6,-50.1,490,614,460,27,"9",24,150,4,50,0
"Aaron Rodgers","QB","PIT",5,226,21.8,40.5,207,269,-45,-51.7,-29.2,503,533,376,28,"10",42,149,8.01,33,20
"Trevin Wallace","LB","CAR",14,71,28.8,2.85,43.8,99.3,-45.9,-47.7,-55.4,513,521,493,48,"2",23,NA,NA,87,1
"Wan'Dale Robinson","WR","NYG",14,80.8,11.8,0.245,59.8,96.1,-46.5,-45,-58.9,518,504,516,64,"10",25,165,2,70,3
"Christian Kirk","WR","HOU",6,80.5,18,0.63,46,106,-46.8,-58.7,-49.4,520,573,457,65,"10",29,143,2.67,74,7
"Audric Estime","RB","FA",NA,68.8,NA,0.196,NA,NA,-47.1,NA,NA,523,NA,NA,55,"12",22,NA,NA,99,1
"Bhayshul Tuten","RB","JAC",8,68.6,30.3,6.06,6.18,97.4,-47.3,-77.8,-55.9,528,688,498,56,"12",24,146,2.63,82,0
"Adam Thielen","WR","MIN",6,79.9,30.7,0.323,49.9,131,-47.4,-54.9,-23.6,529,551,331,66,"10",35,152,2.59,99,11
"Michael Wilson","WR","ARI",8,79.6,13.4,1.67,68,100,-47.7,-36.8,-54.9,536,445,487,67,"10",26,184,1.55,77,2
"Dee Winters","LB","SF",14,68.1,31.7,0.509,45.3,88.9,-48.8,-46.2,-65.8,551,512,566,49,"2",25,NA,NA,80,2
"Demetrius Knight","LB","CIN",10,67.6,22,0.34,50.6,90.8,-49.3,-40.9,-63.9,556,482,555,50,"2",25,NA,NA,16,0
"Alec Pierce","WR","IND",11,77.9,30.3,2.04,45.6,121,-49.4,-59.2,-33.8,557,575,394,68,"10",26,177,1.54,92,3
"Trenton Simpson","LB","BAL",7,67.3,29,0.0746,43.9,97.6,-49.6,-47.5,-57,559,520,506,51,"2",25,NA,NA,82,2
"Cameron McGrone","LB","IND",11,67.2,NA,2.12,NA,NA,-49.7,NA,NA,561,NA,NA,52,"2",26,NA,4.49,99,4
"Darius Slayton","WR","NYG",14,75.9,14.3,0.581,59.4,106,-51.4,-45.4,-48.6,585,507,453,69,"10",29,186,1.59,78,6
"Kenneth Murray","LB","DAL",10,65.1,26.5,0.203,42.9,92.5,-51.8,-48.6,-62.2,591,524,543,53,"2",27,NA,NA,43,5
"Josh Palmer","WR","BUF",7,75.3,17.1,2.74,52,99,-52,-52.7,-56,594,538,499,70,"10",26,162,1.94,84,4
"Matt Milano","LB","BUF",7,64.9,50.6,0.498,24.9,118,-52,-66.6,-36.7,596,607,408,54,"2",31,NA,4.9,97,8
"Akeem Davis-Gaither","LB","ARI",8,64.4,26.7,0.581,44.4,92.7,-52.5,-47.1,-62,603,516,539,55,"2",28,NA,NA,64,5
"Payton Wilson","LB","PIT",5,63.8,9.05,1.68,57.4,69.8,-53.1,-34.1,-84.8,612,423,654,56,"2",26,NA,NA,23,1
"Jaydon Blue","RB","DAL",10,62.5,38.3,0.0949,13.9,109,-53.3,-70,-44.4,614,632,437,57,"12",22,138,3.39,85,0
"Justice Hill","RB","BAL",7,62.4,11.5,0.551,38.2,73.9,-53.4,-45.7,-79.4,615,509,632,58,"13",28,173,2.08,58,6
"Roschon Johnson","RB","CHI",5,61.9,5.76,1.3,54.7,69.1,-54,-29.3,-84.2,623,386,651,59,"13",25,175,2.01,34,2
"Luther Burden","WR","CHI",5,72.5,21.6,2.08,41.8,110,-54.7,-63,-44.9,632,591,442,71,"10",22,155,2.87,86,0
"James Williams","LB","TEN",10,62.1,13.1,0.743,52.7,70.7,-54.8,-38.8,-84,633,460,649,57,"2",23,NA,NA,1,1
"James Williams","LB","TEN",10,62.1,13.1,0.743,52.7,70.7,-54.8,-38.8,-84,633,460,649,57,"2",23,NA,NA,95,1
"Kendre Miller","RB","NO",11,60.6,15.2,0.797,40.9,86.3,-55.3,-43,-67,640,498,574,60,"13",24,174,2.18,54,2
"Marist Liufau","LB","DAL",10,61.4,31.7,0.0839,40.2,95.2,-55.5,-51.2,-59.5,644,531,518,58,"2",25,NA,NA,84,1
"Jack Sanborn","LB","DAL",10,61.3,27,1.29,42.2,79.3,-55.6,-49.3,-75.3,646,526,614,59,"2",25,NA,13.8,67,3
"Gus Edwards","RB","FA",NA,59.8,NA,0.458,NA,NA,-56.1,NA,NA,652,NA,NA,61,"13",31,NA,NA,80,7
"Woody Marks","RB","HOU",6,59.3,43.7,1.92,6.56,146,-56.5,-77.4,-7.71,658,687,189,62,"13",25,171,3.17,96,0
"Tyler Lockett","WR","TEN",10,70.5,19.1,0.355,56.7,110,-56.8,-48.1,-44.6,661,522,439,72,"10",33,175,2.28,88,10
"Nick Martin","LB","SF",14,60,NA,0.973,NA,NA,-56.9,NA,NA,663,NA,NA,60,"3",23,NA,NA,72,0
"Ollie Gordon","RB","MIA",12,57.4,31.7,1.02,16.9,110,-58.4,-67.1,-43,684,608,433,63,"13",22,141,4.71,86,0
"Kenneth Gainwell","RB","PIT",5,56.4,43.9,2.01,28.8,147,-59.5,-55.2,-6.48,694,552,178,64,"13",27,176,1.74,92,4
"Antonio Gibson","RB","NE",14,54.4,22.7,0.345,20.9,72,-61.5,-63,-81.3,716,590,638,65,"13",28,NA,2.38,75,5
"Jaylen Wright","RB","MIA",12,54,22.1,0.243,30.3,86.6,-61.8,-53.6,-66.7,720,543,573,66,"13",23,165,1.31,79,1
"Khalil Herbert","RB","FA",NA,53.8,NA,0.596,NA,NA,-62.1,NA,NA,723,NA,NA,67,"13",28,NA,NA,94,4
"Ty Johnson","RB","BUF",7,53.2,18.2,0.42,36.8,87.4,-62.7,-47.1,-65.9,731,517,568,68,"13",28,170,1.12,70,6
"Blake Corum","RB","LAR",8,52.8,20.9,1.88,27.9,94.5,-63.1,-56.1,-58.8,735,556,515,69,"13",25,179,1.57,69,1
"Cam Akers","RB","FA",NA,50.9,NA,0.2,NA,NA,-65,NA,NA,760,NA,NA,70,"13",27,NA,NA,99,5
"Kimani Vidal","RB","FA",NA,50.7,NA,0.0583,NA,NA,-65.2,NA,NA,764,NA,NA,71,"13",24,NA,NA,87,1
"Kyle Monangai","RB","CHI",5,50.6,34.3,1.91,7.66,98.4,-65.2,-76.3,-54.9,766,682,488,72,"13",24,171,2.65,83,0
"Daniel Jones","QB","IND",11,185,63.3,10.9,50.8,262,-85.5,-208,-36.9,942,813,411,29,"10",29,150,5.31,92,6
"Russell Wilson","QB","NYG",14,174,52.3,24.1,106,236,-96.3,-153,-62.8,1020,812,547,30,"11",37,159,4.11,69,13
"Spencer Rattler","QB","NO",11,150,68.4,33.6,26.1,236,-120,-233,-62.5,1160,816,546,31,"12",25,170,1.88,94,1
"Joe Flacco","QB","CLE",9,117,55.3,12.6,41.3,204,-154,-218,-94.1,1190,814,699,32,"13",41,168,3.89,89,17
"Anthony Richardson","QB","IND",11,104,86.6,29.7,8.15,248,-167,-251,-50.8,1190,817,463,33,"14",24,168,2.34,97,2
"Tyler Shough","QB","NO",11,74.4,46.1,14.1,3.67,128,-196,-255,-171,1200,826,818,34,"15",26,182,3.32,86,0
"Jaxson Dart","QB","NYG",14,60.3,48.1,1.31,3.34,124,-210,-255,-175,1200,831,819,35,"15",23,160,6.09,78,0
"Kirk Cousins","QB","ATL",5,59,89.8,5.88,-0.224,205,-212,-259,-93.8,1200,854,698,36,"15",37,170,1.92,99,13
