player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,gsis_id,sleeper_id,identity_source,game_id,kickoff,provider_depth_tier,depth_lane,slp_proj,injury_status
sleeper:13405,Kaytron Allen,RB,WAS,DAL,2026,2,0.03934601237617581,,13405,synthetic_sleeper,2026_02_WAS_DAL,2026-09-20 16:25:00-04:00,3.0,3.0,1.98,none
sleeper:13414,Kaelon Black,RB,SF,MIA,2026,2,0.012096228884727953,,13414,synthetic_sleeper,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,2.0,2.0,6.39,none
00-0036187,Reggie Gilliam,RB,NE,PIT,2026,2,-0.05999346521992728,00-0036187,7204,historical_crosswalk,2026_02_PIT_NE,2026-09-20 13:00:00-04:00,3.0,3.0,0.23,none
sleeper:13300,Le'Veon Moss,RB,MIA,SF,2026,2,-0.20709590629253116,,13300,synthetic_sleeper,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,8.0,4.0,0.0,none
00-0037744,Trey McBride,TE,ARI,SEA,2026,2,11.786928643412768,00-0037744,8130,historical_crosswalk,2026_02_SEA_ARI,2026-09-20 16:25:00-04:00,1.0,1.0,11.04,none
00-0036970,Kyle Pitts,TE,ATL,CAR,2026,2,8.409517552622933,00-0036970,7553,historical_crosswalk,2026_02_CAR_ATL,2026-09-20 13:00:00-04:00,1.0,1.0,7.78,none
00-0033288,George Kittle,TE,SF,MIA,2026,2,8.100253516775046,00-0033288,4217,sleeper_gsis,2026_02_MIA_SF,2026-09-20 16:25:00-04:00,1.0,1.0,9.27,none
00-0040126,Colston Loveland,TE,CHI,MIN,2026,2,6.595242252951186,00-0040126,12517,historical_crosswalk,2026_02_MIN_CHI,2026-09-20 13:00:00-04:00,1.0,1.0,9.83,none
00-0030506,Travis Kelce,TE,KC,IND,2026,2,6.507798748152319,00-0030506,1466,sleeper_gsis,2026_02_IND_KC,2026-09-20 20:20:00-04:00,1.0,1.0,8.57,none
00-0040663,Harold Fannin,TE,CLE,TB,2026,2,5.988715661784314,00-0040663,12506,historical_crosswalk,2026_02_CLE_TB,2026-09-20 13:00:00-04:00,1.0,1.0,8.07,none
