Pos,Player,Team,Year,Side
LB,Jack Campbell,DET,2024,defense
CB,Patrick Surtain II,DEN,2024,defense
CB,Derek Stingley Jr.,HOU,2024,defense
CB,Marlon Humphrey,BAL,2024,defense
CB,Trent McDuffie,KAN,2024,defense
CB,Jaylon Johnson,CHI,2024,defense
CB,Byron Murphy,MIN,2024,defense
CB,Garrett Williams,ARI,2024,defense
CB,Christian Gonzalez,NWE,2024,defense
CB,Christian Benford,BUF,2024,defense
DB,Cooper DeJean,PHI,2024,defense
S,Xavier McKinney,GNB,2024,defense
S,Kyle Hamilton,BAL,2024,defense
S,Kerby Joseph,DET,2024,defense
S,Brian Branch,DET,2024,defense
S,Derwin James,LAC,2024,defense
S,Brandon Jones,DEN,2024,defense
S,Budda Baker,ARI,2024,defense
QB,Matthew Stafford,LAR,2025,offense
QB,Drake Maye,NWE,2025,offense
RB,Christian McCaffrey,SFO,2025,offense
RB,Bijan Robinson,ATL,2025,offense
RB,James Cook,BUF,2025,offense
RB,Jonathan Taylor,IND,2025,offense
RB,De'Von Achane,MIA,2025,offense
FB,Reggie Gilliam,BUF,2025,offense
FB,Kyle Juszczyk,SFO,2025,offense
FB,Patrick Ricard,BAL,2025,offense
WR,Jaxon Smith-Njigba,SEA,2025,offense
WR,Puka Nacua,LAR,2025,offense
WR,Ja'Marr Chase,CIN,2025,offense
WR,Amon-Ra St. Brown,DET,2025,offense
WR,Nico Collins,HOU,2025,offense
WR,George Pickens,DAL,2025,offense
WR,Chris Olave,NOR,2025,offense
TE,Trey McBride,ARI,2025,offense
TE,Travis Kelce,KAN,2025,offense
TE,Kyle Pitts,ATL,2025,offense
TE,George Kittle,SFO,2025,offense
LT,Tristan Wirfs,TAM,2025,offense
T,Penei Sewell,DET,2025,offense
T,Garett Bolles,DEN,2025,offense
T,Trent Williams,SFO,2025,offense
T,Dion Dawkins,BUF,2025,offense
G,Joe Thuney,CHI,2025,offense
G,Quinn Meinerz,DEN,2025,offense
G,Quenton Nelson,IND,2025,offense
G,Chris Lindstrom,ATL,2025,offense
C,Creed Humphrey,KAN,2025,offense
C,Drew Dalman,CHI,2025,offense
C,Aaron Brewer,MIA,2025,offense
RT,Darnell Wright,CHI,2025,offense
DL,Zach Allen,DEN,2025,defense
DL,Kobie Turner,LAR,2025,defense
DE,Will Anderson,HOU,2025,defense
DE,Myles Garrett,CLE,2025,defense
DE,Micah Parsons,GNB,2025,defense
DE,Aidan Hutchinson,DET,2025,defense
DT,Jeffery Simmons,TEN,2025,defense
DT,Cameron Heyward,PIT,2025,defense
DT,Leonard Williams,SEA,2025,defense
OLB,Nik Bonitto,DEN,2025,defense
OLB,Brian Burns,NYG,2025,defense
OLB,Tuli Tuipulotu,LAC,2025,defense
OLB,Byron Young,LAR,2025,defense
MLB,Jack Campbell,DET,2025,defense
MLB,Devin Lloyd,JAX,2025,defense
LB,Jordyn Brooks,MIA,2025,defense
LB,Zack Baun,PHI,2025,defense
LB,Devin Bush Jr.,CLE,2025,defense
LB,Demario Davis,NOR,2025,defense
LB,Ernest Jones,SEA,2025,defense
LB,Cedric Gray,TEN,2025,defense
CB,Quinyon Mitchell,PHI,2025,defense
CB,Derek Stingley Jr.,HOU,2025,defense
CB,Cooper DeJean,PHI,2025,defense
CB,Patrick Surtain II,DEN,2025,defense
CB,Devon Witherspoon,SEA,2025,defense
CB,Jaycee Horn,CAR,2025,defense
CB,Ja'Quan McMillian,DEN,2025,defense
CB,Michael Jackson,CAR,2025,defense
S,Kyle Hamilton,BAL,2025,defense
S,Kevin Byard,CHI,2025,defense
S,Jalen Pitre,HOU,2025,defense
S,Derwin James,LAC,2025,defense
S,Xavier Watts,ATL,2025,defense
S,Xavier McKinney,GNB,2025,defense
S,Talanoa Hufanga,DEN,2025,defense
S,Jessie Bates III,ATL,2025,defense
S,Antonio Johnson,JAX,2025,defense
EDGE,Danielle Hunter,HOU,2025,defense
