game_id,stadium_id,kickoff_utc,station_id,station_name,temp_f,wind_mph,precip_in,humidity_pct,source
2014_07_ARI_OAK,OAK00,2014-10-19T20:25:00,72493,Metro Oakland International  Airport,68.0,7.0,0.0,73.0,meteostat
2014_07_SF_DEN,DEN00,2014-10-20T00:30:00,KBJC0,Denver / Broomfield / Countryside,68.0,0.0,,24.0,meteostat
2014_07_HOU_PIT,PIT00,2014-10-21T00:30:00,72520,Greater Pittsburgh International,54.0,4.7,0.0,64.0,meteostat
2014_08_SD_DEN,DEN00,2014-10-24T00:25:00,KBJC0,Denver / Broomfield / Countryside,62.6,7.0,,32.0,meteostat
2014_08_DET_ATL,LON00,2014-10-26T13:30:00,03672,Northolt,58.5,11.4,,62.0,meteostat
2014_08_SEA_CAR,CAR00,2014-10-26T17:00:00,72314,Charlotte/Douglas International Airport,79.0,10.3,0.0,31.0,meteostat
2014_08_BAL_CIN,CIN00,2014-10-26T17:00:00,KLUK0,Cincinnati / Columbia,63.0,3.4,0.0,36.0,meteostat
2014_08_MIA_JAX,JAX00,2014-10-26T17:00:00,74782,Jacksonville / Hatch Road Mobile Home Park,78.1,4.7,0.0,43.0,meteostat
2014_08_STL_KC,KAN00,2014-10-26T17:00:00,KMKC0,Kansas City / Harlem,78.1,9.2,0.0,56.0,meteostat
2014_08_CHI_NE,BOS00,2014-10-26T17:00:00,KOWD0,Norwood,57.0,16.1,,51.0,meteostat
2014_08_BUF_NYJ,NYC01,2014-10-26T17:00:00,KTEB0,Teterboro,60.1,17.2,0.0,37.0,meteostat
2014_08_MIN_TB,TAM00,2014-10-26T17:00:00,72211,Tampa International Airport,79.0,7.0,0.0,32.0,meteostat
2014_08_HOU_TEN,NAS00,2014-10-26T17:00:00,72327,Nashville Airport,75.0,3.4,0.0,60.0,meteostat
2014_08_OAK_CLE,CLE00,2014-10-26T20:25:00,KBKL0,Brookville / Old Chinatown,55.0,13.9,0.0,52.0,meteostat
2014_08_IND_PIT,PIT00,2014-10-26T20:25:00,72520,Greater Pittsburgh International,61.0,18.3,0.0,30.0,meteostat
2014_09_NO_CAR,CAR00,2014-10-31T00:25:00,72314,Charlotte/Douglas International Airport,55.0,4.7,0.0,48.0,meteostat
2014_09_JAX_CIN,CIN00,2014-11-02T18:00:00,KLUK0,Cincinnati / Columbia,44.1,4.7,0.0,43.0,meteostat
2014_09_TB_CLE,CLE00,2014-11-02T18:00:00,KBKL0,Brookville / Old Chinatown,,,0.0,,meteostat
2014_09_NYJ_KC,KAN00,2014-11-02T18:00:00,KMKC0,Kansas City / Harlem,61.0,20.8,,31.0,meteostat
2014_09_SD_MIA,MIA00,2014-11-02T18:00:00,KHWO0,Hollywood / Pembroke Pines,68.0,9.2,0.0,31.0,meteostat
2014_09_WAS_MIN,MIN98,2014-11-02T18:00:00,KSTP0,Saint Paul,54.0,16.1,0.0,32.0,meteostat
2014_09_STL_SF,SFO01,2014-11-02T21:05:00,KSJC0,San Jose / Santa Clara Trailer Village,63.0,3.4,0.0,50.0,meteostat
2014_09_DEN_NE,BOS00,2014-11-02T21:25:00,KOWD0,Norwood,39.9,12.7,0.0,53.0,meteostat
2014_09_OAK_SEA,SEA00,2014-11-02T21:25:00,KBFI0,Seattle / South Park,57.0,8.1,0.0,67.0,meteostat
2014_09_BAL_PIT,PIT00,2014-11-03T01:30:00,72520,Greater Pittsburgh International,37.0,4.7,0.0,61.0,meteostat
2014_09_IND_NYG,NYC01,2014-11-04T01:30:00,KTEB0,Teterboro,55.0,8.1,0.0,22.0,meteostat
2014_10_CLE_CIN,CIN00,2014-11-07T01:25:00,KLUK0,Cincinnati / Columbia,44.1,13.9,0.0,73.0,meteostat
2014_10_TEN_BAL,BAL00,2014-11-09T18:00:00,KDMH0,Baltimore,57.0,,,37.0,meteostat
