gsis_id,display_name,position,score,ci_lo,ci_hi,w,rank_pos,college_share,flag,z_brkTkl_ru,w_brkTkl_ru,z_yac_oe_rec,w_yac_oe_rec,z_explosive,w_explosive,z_YACcon,w_YACcon,z_brkTkl_rec,w_brkTkl_rec,z_success,w_success,z_cp,w_cp,z_yac_oe,w_yac_oe,z_cpoe,w_cpoe,z_bad,w_bad,z_deep,w_deep,z_qsucc,w_qsucc,z_q10,w_q10
00-0036971,Trevor Lawrence,QB,69.900000,63.600000,76.300000,0.755900,18,0.000000,,,,,,,,,,,,,,,,,,-0.043900,0.827900,0.283200,0.750600,0.415700,0.546900,0.746000,0.875200,0.402900,0.817400
00-0036212,Tua Tagovailoa,QB,69.800000,62.400000,77.100000,0.698700,19,0.000000,,,,,,,,,,,,,,,,,,0.537900,0.811600,0.794500,0.730500,0.582000,0.457700,-0.757800,0.764100,-0.589400,0.673800
00-0033106,Jared Goff,QB,69.500000,63.400000,75.700000,0.768000,20,0.000000,,,,,,,,,,,,,,,,,,0.643900,0.872700,0.504300,0.810200,0.416900,0.542500,-0.652200,0.816400,-0.668800,0.739400
00-0039163,C.J. Stroud,QB,69.100000,61.400000,76.800000,0.679100,21,0.000000,,,,,,,,,,,,,,,,,,0.525500,0.763700,-0.219300,0.670900,0.427800,0.454100,0.310700,0.805100,0.282800,0.725000
00-0039732,Bo Nix,QB,68.700000,60.900000,76.500000,0.672300,22,0.000000,,,,,,,,,,,,,,,,,,-0.041000,0.747000,0.604200,0.647700,0.489700,0.428100,0.367200,0.843000,0.350800,0.774100
00-0038128,Malik Willis,QB,68.700000,48.800000,88.600000,0.238700,23,0.000000,‡,,,,,,,,,,,,,,,,,0.532500,0.137200,1.090100,0.165500,2.928200,0.083200,0.374600,0.636300,0.933900,0.527400
00-0040743,Tyler Shough,QB,65.700000,52.000000,79.300000,0.399900,24,0.000000,†,,,,,,,,,,,,,,,,,0.604400,0.471300,0.512300,0.358400,-0.590100,0.173500,0.242600,0.587300,0.003800,0.475900
00-0039150,Bryce Young,QB,64.900000,56.800000,73.000000,0.654500,25,0.000000,,,,,,,,,,,,,,,,,,0.413600,0.757400,-0.471100,0.661900,0.231100,0.382100,0.387900,0.786400,0.374200,0.701400
00-0040668,Shedeur Sanders,QB,63.900000,46.600000,81.200000,0.293800,26,0.000000,‡,,,,,,,,,,,,,,,,,-0.316100,0.367700,-0.047100,0.265900,0.274700,0.126900,1.565000,0.405000,1.640000,0.302800
00-0026498,Matthew Stafford,QB,60.400000,54.400000,66.400000,0.773900,27,0.000000,,,,,,,,,,,,,,,,,,0.424500,0.859200,-0.125700,0.791700,0.537200,0.628200,-0.808000,0.798900,-0.603900,0.717000
00-0040676,Cam Ward,QB,59.400000,47.600000,71.300000,0.468900,28,0.000000,,,,,,,,,,,,,,,,,,-0.233300,0.595700,-0.313500,0.479900,0.625900,0.222000,0.723500,0.546800,0.207800,0.435000
